age_ka,d18O,MgCa,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,temp,temp_min1,temp_plus1,temp_min2,temp_plus2
2872.5,3.41,0.79,-0.23833,-0.72569,0.26408,-1.181,0.78116,32.006,30.201,33.867,28.515,35.782,-1.1074,-3.1588,1.0033,-5.4178,2.7559
2874.5,3.53,0.99,-0.11116,-0.60093,0.36534,-1.058,0.80632,32.477,30.663,34.242,28.97,35.875,-0.83281,-2.9239,1.378,-4.7533,3.1112
2879.6,3.73,1.02,0.17799,-0.26894,0.64194,-0.74529,1.1111,33.548,31.893,35.266,30.129,37.004,-0.3676,-2.3916,1.7655,-4.5295,3.6558
2881.8,3.8,0.82,0.52692,0.046769,1.0005,-0.37416,1.4559,34.84,33.062,36.594,31.503,38.281,0.71551,-1.3521,2.7439,-3.3155,4.6982
2884.4,3.76,0.96,0.52758,0.075802,0.97545,-0.30997,1.4171,34.843,33.17,36.502,31.741,38.137,0.66558,-1.2676,2.6645,-3.0607,4.5225
2886.1,3.77,1.05,0.36715,-0.031151,0.79073,-0.43826,1.1658,34.249,32.774,35.818,31.266,37.207,0.41718,-1.4327,2.2916,-3.2841,4.1615
2888.2,3.87,0.99,0.08827,-0.39956,0.56464,-0.84969,0.98454,33.216,31.409,34.98,29.742,36.535,-0.41885,-2.5826,1.679,-4.5557,3.4966
2892.5,3.51,0.89,-0.050192,-0.49942,0.36019,-0.9456,0.77008,32.703,31.039,34.223,29.387,35.741,-0.54704,-2.6275,1.3937,-4.789,3.2506
2894.3,3.5,0.94,0.11604,-0.31906,0.55784,-0.8233,1.0183,33.319,31.707,34.955,29.84,36.66,0.063702,-1.9261,2.003,-4.0724,4.1201
2896.5,3.28,0.93,0.072568,-0.38419,0.51975,-0.81647,0.93542,33.158,31.466,34.814,29.865,36.353,0.069026,-2.0357,2.0038,-3.987,3.9016
