mcd,age_ka,d13C,d18O,Notes,
137.18,3027.9,-1.26,3.5,1208 15-7 50-52 RU,-0.36
137.27,3030.6,-1.19,3.43,1208 15-7 60-62U,-0.29
137.41,3034.4,-1.02,3.04,1208 15-CC 0-2U,-0.12
137.5,3037.1,-1.07,3.28,1208 15-CC 10-12U,-0.17
137.5,3037.1,-1.27,3.34,1208 15-CC 10-12 RU,-0.37
137.6,3040,-1.13,3.47,1208 15-CC 20-22U,-0.23
137.78,3045.7,-1.68,3.63,1208 16-1 9-11U,-0.78
137.91,3047.9,-1.43,3.52,1208 16-1 22-24U,-0.53
137.98,3049.4,-1.21,3.43,1208 16-1 30-32U,-0.31
138.09,3051.5,-0.8,3.43,1208 16-1 42-44U,0.1
138.17,3052.9,-0.92,3.32,1208 16-1 50-52U,-0.02
138.28,3055,-0.97,3.19,1208 16-1 62-64U,-0.07
138.36,3056.4,-0.87,3.33,1208 16-1 70-72U,0.03
138.44,3058,-0.82,3.19,1208 16-1 79-80U,0.08
138.57,3061.5,-0.97,3.25,1208 16-1 93-95U,-0.07
138.64,3063.2,-0.96,3.26,1208 16-1 100-102U,-0.06
138.71,3065.1,-0.93,3.19,1208 16-1 108-110U,-0.03
138.79,3067.1,-0.9,3.14,1208 16-1 116-118U,0
138.92,3070.5,-0.73,3.14,1208 16-1 130-132U,0.17
139.01,3072.9,-0.98,3.17,1208 16-1 140-142U,-0.08
139.11,3075.4,-0.85,3.29,1208 16-2 0-2U,0.05
139.2,3077.8,-0.72,3.25,1208 16-2 10-12U,0.18
139.3,3080.3,-0.9,3.21,1208 16-2 20-22U,0
139.39,3082.7,-0.61,3.21,1208 16-2 30-32U,0.29
139.47,3084.7,-0.88,3.32,1208 16-2 38-40U,0.02
139.58,3087.6,-0.81,3.4,1208 16-2 50-52 U,0.09
139.67,3090,-0.72,3.43,1208 16-2 60-62U,0.18
139.77,3092.5,-0.58,3.4,1208 16-2 70-72U,0.32
139.86,3095,-0.72,3.29,1208 16-2 80-82U,0.18
139.95,3097.5,-0.84,3.29,1208 16-2 90-92U,0.06
140.05,3100,-0.55,3.31,1208 16-2 100-102U,0.35
140.14,3102.1,-0.95,3.3,1208 16-2 110-112U,-0.05
140.33,3106.5,-1,3.24,1208 16-2 130-132U,-0.1
140.42,3108.7,-0.91,3.26,1208 16-2 140-142U,-0.01
140.52,3110.9,-0.6,3.48,1208 16-3 0-2U,0.3
140.8,3117.4,-1.13,3.5,1208 16-3 30-32U,-0.23
140.91,3120,-1.05,3.5,1208 16-3 42-44U,-0.15
140.99,3122.1,-1.07,3.53,1208 16-3 50-52U,-0.17
141.1,3125.2,-1.15,3.45,1208 16-3 62-64U,-0.25
141.17,3127.2,-1.23,3.52,1208 16-3 70-72U,-0.33
141.27,3129.8,-1.24,3.49,1208 16-3 80-82U,-0.34
141.34,3131.8,-1.24,3.68,1208 16-3 88-90U,-0.34
141.46,3134.9,-1.37,3.73,1208 16-3 100-102U,-0.47
141.62,3139.5,-1.13,3.62,1208 16-3 117-119U,-0.23
141.83,3145.1,-1.24,3.23,1208 16-3 140-142U,-0.34
141.93,3147.7,-0.79,3.26,1208 16-4 0-2U,0.11
142.01,3150,-1.12,3.11,1208 16-4 9-11U,-0.22
142.11,3152.7,-1.1,3.06,1208 16-4 20-22U,-0.2
142.2,3154.9,-0.97,3,1208 16-4 29-31U,-0.07
142.43,3161.1,-0.99,2.91,1208 16-4 54-56U,-0.09
142.49,3162.6,-0.87,3.09,1208 16-4 60-62U,0.03
142.57,3164.8,-1,3.27,1208 16-4 69-71U,-0.1
142.67,3167.3,-0.91,3.22,1208 16-4 79-81U,-0.01
143.15,3178,-0.71,3.36,1208 16-4 130-132U,0.19
143.24,3180,-0.87,3.41,1208 16-4 140-142U,0.03
143.33,3183.9,-0.71,3.19,1208-16-5 0-2U,0.19
143.43,3187.7,-0.89,3.14,1208 16-5 10-12 U,0.01
143.55,3192.8,-0.41,3.08,1208 16-5 23-25 U,0.49
143.62,3195.5,-0.78,3.14,1208 16-5 30-32 U,0.12
143.71,3199.3,-0.58,3.21,1208-16-5 40-42U,0.32
144.16,3217.5,-0.81,3.04,1208 16-5 88-90U,0.09
144.16,3217.5,-0.59,3,1208 16-5 88-90UR,0.31
144.18,3218.2,-0.51,3.39,1208 16-5 90-92 U,0.39
144.27,3221.5,-0.89,3.18,1208 16-5 100-102 U,0.01
144.37,3224.9,-0.88,3.42,1208 16-5 110-112 U,0.02
144.55,3231.6,-0.76,3.59,1208 16-5 130-132 U,0.14
144.65,3235,-0.55,3.67,1208 16-5 140-142 U,0.35
144.93,3242.5,-0.59,3.19,1208 16-6 20-22 U,0.31
145.02,3245,-0.35,3.44,1208 16-6 30-32 U,0.55
145.31,3252.5,-0.84,3.2,1208 16-6 60-62 U,0.06
145.4,3255,-0.71,3.6,1208 16-6 70-72 U,0.19
145.59,3260,-0.92,3.7,1208 16-6 90-92 U,-0.02
145.68,3262.5,-0.76,3.6,1208 16-6 100-102 U,0.14
145.78,3265,-0.51,3.59,1208 16-6 110-112 U,0.39
145.97,3270.2,-0.6,3.6,1208 16-6 131-133 U,0.3
146.34,3280,-0.91,3.53,1208 16-7 20-22 U,-0.01
146.45,3282.6,-1.1,3.43,1208 16-7 32-34 U,-0.2
146.53,3284.4,-1.1,3.53,1208 16-7 40-42 U,-0.2
146.62,3286.7,-1.12,3.53,1208 16-7 50-52 U,-0.22
146.71,3288.9,-1.35,3.86,1208 16-7 60-62 U,-0.45
146.81,3291.1,-1.38,3.84,1208 16-7 70-72 U,-0.48
146.94,3294.3,-1.5,4.07,1208 16-CC 0-2 U,-0.6
147.03,3296.5,-1.26,3.97,1208 16-CC 10-12 U,-0.36
147.32,3303.4,-1.12,3.49,1208 17-1 13-15 U,-0.22
147.42,3305.6,-1,3.84,1208 17-1 23-25 U,-0.1
147.49,3307.4,-1.1,3.87,1208 17-1 31-33 U,-0.2
147.6,3310,-1.03,3.79,1208 17-1 42-44 U,-0.13
147.67,3311.6,-0.98,3.7,1208 17-1 50-52 U,-0.08
147.79,3314.2,-0.68,3.33,1208 17-1 63-65 U,0.22
147.87,3315.9,-0.78,3.43,1208 17-1 71-73 U,0.12
147.97,3318.1,-0.58,3.27,1208 17-1 82-84 U,0.32
148.16,3322.2,-0.56,3.48,1208 17-1 102-104 U,0.34
148.24,3323.8,-0.91,3.44,1208 17-1 110-112 U,-0.01
148.36,3326.5,-0.93,3.39,1208 17-1 123-125 U,-0.03
148.43,3327.9,-0.96,3.44,1208 17-1 130-132 U,-0.06
148.54,3330.4,-0.84,3.58,1208 17-1 142-144 U,0.06
148.83,3339.7,-0.76,3.53,1208 17-2 23-25 U,0.14
149.58,3370,-1.13,3.53,1208 17-2 102-104 U,-0.23
149.84,3377.8,-1.19,3.58,1208 17-2 130-132 U,-0.29
