age_ka,d18O,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,d18Ow_IV,d18O_T,Tw
2421,3.512334314,-13.991,5.116,7.363,60.18,7.827,-28.641,-24.558,-53.075,-26.667,0.13,0.153,-0.61
2420,3.527873628,-14.798,5.578,7.65,60.203,7.86,-25.991,-23.535,-52.999,-26.304,0.117,0.181,-0.725
2419,3.469641762,-11.792,6.054,7.926,60.227,7.892,-24.217,-22.82,-52.933,-26.042,0.115,0.125,-0.499
2418,3.39971485,-8.258,4.34,6.837,60.144,7.772,-24.217,-22.82,-52.933,-26.042,0.096,0.074,-0.295
2417,3.347754215,-5.684,2.559,5.297,60.071,7.63,-24.217,-22.82,-52.933,-26.042,0.073,0.044,-0.177
2416,3.339984558,-5.303,1.477,3.947,60.033,7.527,-24.217,-22.82,-52.933,-26.042,0.057,0.053,-0.211
2415,3.332214901,-4.923,1.335,3.727,60.029,7.512,-24.217,-22.82,-52.933,-26.042,0.055,0.047,-0.19
2414,3.341109511,-5.358,1.199,3.502,60.025,7.497,-24.217,-22.82,-52.933,-26.042,0.052,0.059,-0.235
2413,3.356648825,-6.121,1.355,3.759,60.03,7.514,-20.579,-21.248,-52.867,-25.733,0.047,0.08,-0.319
2412,3.37,-6.78,1.646,4.192,60.039,7.545,-18.788,-20.309,-52.81,-25.511,0.051,0.089,-0.356
2411,3.37,-6.78,1.912,4.549,60.048,7.571,-17.881,-19.75,-52.76,-25.353,0.053,0.087,-0.347
2410,3.37,-6.78,1.912,4.549,60.048,7.571,-17.335,-19.359,-52.717,-25.235,0.053,0.087,-0.349
2409,3.352387839,-5.912,1.912,4.549,60.048,7.571,-17.007,-19.084,-52.679,-25.147,0.052,0.07,-0.281
2408,3.321309212,-4.392,1.564,4.075,60.036,7.536,-17.007,-19.084,-52.679,-25.147,0.048,4.40E-02,-0.174
2407,3.290230584,-2.887,1.018,3.178,60.02,7.476,-17.007,-19.084,-52.679,-25.147,0.04,2.10E-02,-8.20E-02
2406,3.336272066,-5.121,5.67E-01,2.196,60.009,7.415,-17.007,-19.084,-52.679,-25.147,0.032,0.075,-0.298
