latitude,depth,salinity,Estimated-Measured Salinity [pss-78]
-4.0000,178.929,35.799999,-0.412245
-4.0000,198.800,35.570000,-0.254711
-4.0000,4.773,34.871899,-10000000000.000000
-4.0000,10.641,34.873901,-10000000000.000000
-4.0000,25.557,34.873199,0.071077
-4.0000,40.670,34.880501,0.107205
-4.0000,59.760,34.913601,0.158031
-4.0000,99.523,35.466000,-0.193414
-4.0000,199.396,35.353100,-0.039402
-4.0000,298.426,34.785000,-0.133757
-4.0000,397.408,34.678902,-0.002928
-4.0000,595.528,34.548100,0.016117
-4.0000,794.647,34.537201,0.000609
-4.0000,9.845,34.148201,-10000000000.000000
-4.0000,26.153,34.147301,0.798229
-4.0000,39.477,34.147301,0.835769
-4.0000,60.654,34.530499,0.545654
-4.0000,101.014,35.152199,0.127168
-4.0000,149.416,35.644600,-0.222623
-4.0000,198.104,35.147701,0.169444
-4.0000,296.738,32.800301,1.855436
-4.0000,397.110,34.665100,0.010914
-4.0000,596.916,34.559399,0.004566
-4.0000,794.053,34.537399,0.000414
-4.0000,994.665,34.549500,-0.002846
-4.0000,10.442,34.854599,-10000000000.000000
-4.0000,198.303,33.407200,1.909415
-4.0000,596.123,34.572201,-0.008092
-4.0000,791.180,34.531399,0.006430
-4.0000,994.368,34.549801,-0.003153
-4.0000,994.764,34.549000,-0.002344
-3.9983,2.785,35.164501,-10000000000.000000
-3.9983,9.746,35.164398,-10000000000.000000
-3.9983,25.358,35.267502,-0.323481
-3.9983,40.273,35.306301,-0.320012
-3.9983,59.660,35.303799,-0.232688
-3.9983,100.020,35.404701,-0.130157
-3.9983,149.416,35.542900,-0.121335
-3.9983,199.098,35.841202,-0.526556
-3.9983,396.614,34.692001,-0.015917
-3.9983,595.131,34.563499,0.000806
-3.9983,794.053,34.527500,0.010322
-3.9983,993.675,34.544399,0.002234
-3.9983,2.188,34.943901,-10000000000.000000
-3.9983,10.442,34.944698,-10000000000.000000
-3.9983,24.463,35.082298,-0.140160
-3.9983,39.875,35.243698,-0.258951
-3.9983,60.157,35.254398,-0.180780
-3.9983,98.529,35.398499,-0.130729
-3.9983,148.323,35.490398,-0.069996
-3.9983,198.303,35.378101,-0.061326
