,mcd_x,age_ka,MgCa,FeCa,AlCa,notes,Unnamed: 6,mcd_y,d13C,d18O,Notes,Unnamed: 5
173,135.48,2985.5,0.94,26.0,23.0,1208 15-6 20-22,,135.48,-0.75,3.35,1208 15-6 20-22U,0.15
174,135.67,2991.3,0.95,33.0,57.0,1208 15-6 40-42,,135.67,-0.75,3.22,1208 15-6 40-42U,0.15
175,135.76,2994.2,0.9,,37.0,1208 15-6 50-52,,135.76,-0.99,3.31,1208 15-6 50-52U,-0.09
176,135.86,2997.1,0.96,20.0,42.0,1208 15-6 60-62,,135.86,-0.95,3.21,1208 15-6 60-62U,-0.05
177,135.95,3000.0,0.88,18.0,25.0,1208 15-6 70-72,,135.95,-1.06,3.42,1208 15-6 70-72U,-0.16
178,136.04,3002.1,1.0,23.0,33.0,1208 15-6 80-82,,136.04,-1.39,3.52,1208 15-6 80-82U,-0.49
179,136.14,3004.2,0.96,21.0,45.0,1208 15-6 90-92,,136.14,-1.22,3.7,1208 15-6 90-92U,-0.32
180,136.23,3006.3,1.04,21.0,25.0,1208 15-6 100-102,,136.23,-1.23,3.59,1208 15-6 100-102U,-0.33
181,136.33,3008.4,0.89,20.0,44.0,1208 15-6 110-112,,136.33,-1.11,3.55,1208 15-6 110-112U,-0.21
182,136.45,3011.1,0.91,23.0,87.0,1208 15-6 123-125,,136.45,-1.06,3.68,1208 15-6 123-125U,-0.16
183,136.52,3012.6,0.83,19.0,115.0,1208_15-6 130-132,,136.52,-1.24,3.56,1208 15-6 130-132U,-0.34
184,136.61,3014.6,0.81,19.0,16.0,1208_15-6 140-142R,,136.61,-1.27,3.62,1208 15-6 140-142U,-0.37
185,136.61,3014.6,0.76,26.0,20.0,1208 15-6 140-142,,136.61,-1.27,3.62,1208 15-6 140-142U,-0.37
186,136.71,3016.7,0.91,16.0,41.0,1208 15-7 0-2,,136.71,-1.21,3.71,1208 15-7 0-2U,-0.31
187,137.08,3025.0,0.89,,44.0,1208 15-7 40-42,,137.08,-1.35,3.53,1208 15-7 40-42U,-0.45
188,137.18,3027.9,0.88,12.0,10.0,1208_15-7 50-52,,137.18,-1.33,3.48,1208 15-7 50-52U,-0.43
189,137.18,3027.9,0.88,12.0,10.0,1208_15-7 50-52,,137.18,-1.26,3.5,1208 15-7 50-52 RU,-0.36
190,137.27,3030.6,0.8,28.0,42.0,1208_15-7 60-62,,137.27,-1.19,3.43,1208 15-7 60-62U,-0.29
191,137.41,3034.4,0.78,18.0,28.0,1208_15-CC 0-2,,137.41,-1.02,3.04,1208 15-CC 0-2U,-0.12
192,137.5,3037.1,0.84,22.0,118.0,1208_15-CC 10-12,,137.5,-1.07,3.28,1208 15-CC 10-12U,-0.17
