age_ka,temp,temp_min1,temp_add1,temp_min2,temp_add2,d18O_sw,d18O_sw_min1,d18O_sw_add_1,d18O_sw_min2,d18O_sw_add2
3082.7,1.0647,-1.0116,3.1086,-3.03,5.0154,0.66565,0.24442,1.0952,-0.2085,1.4977
3084.7,1.1675,-0.81076,3.1848,-2.9825,5.1785,0.79348,0.34995,1.2364,-0.093098,1.6597
3087.6,0.75962,-1.3207,2.6996,-3.3625,4.6088,0.74123,0.29923,1.1697,-0.15388,1.571
3090,0.37978,-1.5831,2.3405,-3.5182,4.1754,0.58629,0.13612,0.99823,-0.25711,1.3993
3095,0.48696,-1.4523,2.4811,-3.3309,4.1656,0.57914,0.11477,0.99954,-0.27346,1.3539
3097.5,0.31808,-1.7468,2.3563,-3.6859,4.2865,0.53095,0.074524,0.99141,-0.30384,1.4007
3100,0.51248,-1.424,2.4223,-3.5601,4.4448,0.5759,0.15544,1.0042,-0.27772,1.4118
3102.1,0.049207,-1.9563,2.1293,-4.0329,4.0063,0.44724,-0.0077014,0.89963,-0.4464,1.2824
3108.7,-0.69947,-2.7105,1.3238,-4.7093,3.253,0.47367,0.027582,0.89965,-0.40249,1.3312
3120,-0.87942,-2.8435,1.1855,-4.9062,3.2609,0.48774,0.09201,0.9537,-0.37036,1.4141
3122.1,-0.88595,-2.9791,1.1433,-4.7133,2.9144,0.46308,0.0035287,0.87816,-0.4009,1.2894
3125.2,-1.1025,-3.1811,1.006,-5.1001,2.7336,0.42508,-0.019597,0.87939,-0.4366,1.2631
3127.2,-1.8991,-3.967,0.085251,-6.0537,2.2329,0.27979,-0.19518,0.71193,-0.59687,1.15
3129.8,-0.82491,-2.9477,1.4486,-5.2336,3.3917,0.21376,-0.23793,0.63227,-0.64706,1.0494
3145.1,-0.45844,-2.4962,1.7619,-4.5809,3.6987,0.15176,-0.29529,0.59712,-0.74021,1.0431
3152.7,-0.39155,-2.49,1.7876,-4.5809,3.8112,0.11871,-0.33584,0.55771,-0.795,1.0419
3154.9,0.13124,-1.9774,2.134,-3.8668,4.1147,0.12984,-0.30884,0.56972,-0.73951,0.95851
3161.1,0.68527,-1.4042,2.619,-3.267,4.4556,0.45793,-0.021022,0.9151,-0.48124,1.3614
3164.8,-0.11556,-2.1658,1.9366,-4.0788,3.8848,0.36138,-0.088504,0.85259,-0.55658,1.2377
3199.3,0.026927,-2.0413,2.1707,-3.9494,4.2521,0.4073,-0.075474,0.96001,-0.51198,1.4336
3217.5,-0.064541,-2.056,1.9291,-3.9814,3.7952,0.43227,-0.040889,0.89662,-0.4897,1.3281
3218.2,-0.45279,-2.3989,1.4566,-4.2129,3.4658,0.30845,-0.13763,0.76363,-0.54889,1.2364
3221.5,0.66643,-1.5575,2.8347,-3.6856,4.8946,0.66952,0.1144,1.1593,-0.43167,1.5892
3224.9,-0.33213,-2.6132,2.0031,-4.5157,4.2521,0.63813,0.17551,1.11,-0.23276,1.5338
3231.6,-1.2167,-3.231,0.74092,-5.1046,2.6604,0.48516,0.046828,0.89227,-0.37841,1.3401
3265,-1.1179,-3.1278,0.90274,-5.0083,2.807,0.44233,0.0057732,0.88029,-0.41914,1.2941
3280,-1.2212,-3.2963,0.81918,-5.1273,2.8108,0.36353,-0.077785,0.82268,-0.4873,1.2559
3282.6,-0.79322,-2.8706,1.1496,-4.5804,3.1878,0.48197,0.040575,0.93995,-0.377,1.3412
3284.4,-1.1652,-3.0356,0.96052,-4.7951,2.8427,0.44461,0.040013,0.89319,-0.32134,1.2902
3286.7,-0.60007,-2.5444,1.5139,-4.3976,3.472,0.82075,0.25219,1.3142,-0.14552,1.7776
3288.9,-0.9659,-3.0118,1.215,-5.1197,3.307,0.8146,0.37298,1.2982,-0.092932,1.7316
3291.1,-0.41721,-2.5331,1.742,-4.4304,3.5373,0.6879,0.26031,1.1184,-0.18388,1.5485
3303.4,-1.2649,-3.3446,0.90317,-5.318,2.9572,0.5936,0.15612,1.0251,-0.23893,1.4203
3310,-1.0126,-3.08,1.0962,-5.1468,3.0518,0.42283,-0.018214,0.87567,-0.43125,1.2668
3314.2,-0.96429,-2.9818,1.1526,-5.0066,3.0853,0.37337,-0.06983,0.80342,-0.50254,1.2326
3315.9,-1.1319,-3.0828,0.98444,-5.0241,3.0935,0.36234,-0.07621,0.80698,-0.4763,1.2618
