age_ka,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,Dd18O_ice,Dd18O_temp,SeaTemp
4501.00000,15.08700,0.00000,0.00000,43.29700,0.04900,-15.00000,-15.00000,-49.01500,-16.39400,-0.31500,-0.02600,0.10500
4500.00000,15.66900,0.00000,0.00000,42.71300,0.00000,-15.00000,-15.00000,-49.01500,-16.39400,-0.32300,-0.03200,0.12800
4499.00000,16.24700,0.00000,0.00000,42.13100,0.00000,-15.00000,-15.00000,-49.01500,-15.00000,-0.33100,-0.03800,0.15300
4498.00000,16.21600,0.00000,0.00000,41.55300,0.00000,-15.00000,-15.00000,-49.01500,-15.00000,-0.33900,-0.02900,0.11800
4497.00000,16.15200,0.00000,0.00000,41.58400,0.00000,-15.00000,-15.00000,-48.71900,-15.00000,-0.34200,-0.02500,0.09800
4496.00000,16.08800,0.00000,0.00000,41.64800,0.00000,-15.00000,-15.00000,-48.46900,-15.00000,-0.34400,-0.02100,0.08400
4495.00000,16.02400,0.00000,0.00000,41.71200,0.00000,-15.00000,-15.00000,-48.25700,-15.00000,-0.34600,-0.01800,0.07200
4494.00000,15.96000,0.00000,0.00000,41.77600,0.00000,-15.00000,-15.00000,-48.07900,-15.00000,-0.34700,-0.01600,0.06200
4493.00000,15.89500,0.00000,0.00000,41.84000,0.00000,-15.00000,-15.00000,-47.93000,-15.00000,-0.34700,-0.01300,0.05400
4492.00000,15.93700,0.00000,0.00000,41.90500,0.00000,-15.00000,-15.00000,-47.80400,-15.00000,-0.34700,-0.01400,0.05800
4491.00000,16.06600,0.00000,0.00000,41.86300,0.00000,-15.00000,-15.00000,-47.80400,-15.00000,-0.34800,-0.01700,0.06800
4490.00000,16.19400,0.00000,0.00000,41.73400,0.00000,-15.00000,-15.00000,-47.80400,-15.00000,-0.35000,-0.01800,0.07300
4489.00000,16.32200,0.00000,0.00000,41.60600,0.00000,-15.00000,-15.00000,-47.80400,-15.00000,-0.35100,-0.02000,0.07900
4488.00000,16.45000,0.00000,0.00000,41.47800,0.00000,-15.00000,-15.00000,-47.80400,-15.00000,-0.35300,-0.02100,0.08500
4487.00000,16.57800,0.00000,0.00000,41.35000,0.00000,-15.00000,-15.00000,-47.80400,-15.00000,-0.35500,-0.02300,0.09000
