site,hole,core,section,top,bottom,mcd,age_ka,d18O,FeCa,MnCa,AlCa,MgCa,BWT,d18O_sw,RSL
1313,C,13,3,34,36,123.14,2590.35,3.35,,,,2.10,7.14,0.27,-24.75
1313,C,13,3,38,40,123.18,2591.29,3.36,0.102,0.497,0.821,1.90,6.26,0.24,-21.65
1313,C,13,3,42,44,123.22,2592.24,3.42,0.075,0.397,0.141,2.00,6.73,0.32,-29.23
1313,C,13,3,46,48,123.26,2593.18,3.66,0.630,0.569,0.096,1.90,6.26,0.54,-48.92
1313,C,13,3,50,52,123.30,2594.13,3.69,0.141,0.431,0.063,1.90,6.30,0.57,-51.80
1313,C,13,3,54,56,123.34,2595.07,3.78,0.257,0.298,0.043,2.24,7.72,0.73,-66.43
1313,C,13,3,58,60,123.38,2596.08,3.68,0.070,0.294,0.105,2.19,7.51,0.62,-56.41
1313,C,13,3,62,64,123.42,2597.09,3.90,0.181,0.447,0.207,1.79,5.75,0.75,-68.40
1313,C,13,3,66,68,123.46,2598.09,3.87,0.078,0.419,0.161,2.44,8.47,0.86,-78.04
1313,C,13,3,70,72,123.50,2599.10,3.76,0.090,0.382,0.109,2.69,9.32,0.79,-71.90
1313,C,13,3,74,76,123.54,2600.11,3.64,,,,,,,
1313,C,13,3,82,84,123.62,2602.13,3.61,0.064,0.387,0.164,2.22,7.65,0.56,-50.68
1313,C,13,3,90,92,123.70,2604.14,4.03,0.066,0.491,1.221,1.65,5.05,0.85,-77.04
1313,C,13,3,98,100,123.78,2606.16,4.11,0.098,0.451,0.136,1.75,5.59,0.95,-86.76
1313,C,13,3,106,108,123.86,2608.17,3.80,0.103,0.428,0.125,1.81,5.85,0.66,-59.75
1313,C,13,3,114,116,123.94,2610.19,3.95,0.130,0.602,0.093,1.72,5.40,0.78,-71.36
1313,C,13,3,122,124,124.02,2612.13,3.91,0.092,0.502,0.141,1.91,6.35,0.79,-72.03
1313,C,13,3,130,132,124.10,2614.08,3.10,0.067,0.559,0.127,1.96,6.57,-0.01,0.61
1313,C,13,3,138,140,124.18,2615.93,3.69,0.091,0.489,0.182,1.64,4.98,0.50,-45.82
1313,C,13,3,146,148,124.26,2617.68,3.12,0.059,0.514,0.231,1.75,5.60,-0.04,3.18
1313,C,13,4,4,6,124.34,2619.43,3.49,0.072,0.520,0.187,1.84,6.01,0.36,-32.30
1313,C,13,4,12,14,124.42,2621.18,3.35,0.066,0.500,0.182,1.96,6.58,0.24,-22.17
1313,C,13,4,20,22,124.50,2622.92,3.18,0.072,0.508,0.235,1.74,5.51,0.02,-1.86
1313,C,13,4,22,24,"124,52",2623.36,3.43,0.18,0.56,0.04,1.97,6.62,0.32,-29.38
1313,C,13,4,24,26,"124,54",2625.00,3.35,0.42,0.51,,1.99,6.71,0.25,-22.36
1313,B,13,1,77,78,"124,78",2627.79,,0.12,0.36,0.21,2.02,6.84,,
1313,B,13,1,74,76,124.74,2628.17,2.86,0.051,0.334,0.261,2.20,7.59,-0.20,17.76
1313,B,13,1,78,80,"124,79",2629.32,3.33,0.20,0.49,0.26,2.02,6.82,0.24,-21.54
1313,B,13,1,80,82,"124,81",2629.70,,,,,,,,
1313,B,13,1,82,83,"124,83",2630.20,3.35,0.17,0.73,,2.05,7.01,0.26,-23.84
1313,B,13,1,85,87,"124,86",2630.74,3.25,0.17,0.69,,2.15,7.41,0.19,-16.83
1313,B,13,1,87,89,"124,88",2631.24,3.35,0.21,0.45,0.25,1.82,5.97,0.21,-19.11
1313,B,13,1,89,91,"124,9",2631.67,3.36,0.15,0.53,,1.89,6.27,0.24,-21.43
1313,B,13,1,91,93,"124,92",2632.11,3.16,0.15,0.35,0.23,1.99,6.74,0.06,-5.23
1313,B,13,1,94,95,124.94,2632.55,3.06,0.074,0.332,0.184,2.29,7.94,0.02,-1.99
1313,B,13,1,93,95,"124,94",2632.55,3.43,0.48,0.85,0.02,2.51,8.75,0.43,-39.03
1313,B,13,1,100,102,125.00,2633.70,3.38,0.108,0.360,0.162,2.51,8.75,0.38,-34.75
1313,B,13,1,105,107,125.05,2634.66,3.50,0.060,0.328,0.274,1.88,6.21,0.38,-34.14
1313,B,13,1,115,117,125.15,2636.57,3.63,0.112,0.707,0.716,2.36,8.20,0.61,-55.02
1313,B,13,1,125,127,125.25,2638.49,3.48,0.177,0.326,0.682,1.76,5.65,0.33,-29.75
