label,mbsf,mcd,rmcd,age_ka,d18O,d13C,Reference
"138-849D-2H-2,126",16.26,20.06,8.41199,684.706,3.99,-0.33,"Mix et al., 1995"
"138-849D-2H-2,136",16.36,20.16,8.46584,688.474,3.88,-0.16,"Mix et al., 1995"
"138-849D-2H-2,146",16.46,20.26,8.51969,692.243,3.72,-0.1,"Mix et al., 1995"
"138-849D-2H-3,6",16.56,20.36,8.57353,696.012,3.66,0.05,"Mix et al., 1995"
"138-849D-2H-3,16",16.66,20.46,8.62772,699.781,3.51,0.24,"Mix et al., 1995"
"138-849D-2H-3,26",16.76,20.56,8.68401,703.55,3.845,-0.06,"Mix et al., 1995"
"138-849D-2H-3,36",16.86,20.66,8.74031,707.318,3.68,0.03,"Mix et al., 1995"
"138-849D-2H-3,46",16.96,20.76,8.79661,711.087,4.05,-0.3,"Mix et al., 1995"
"138-849D-2H-3,56",17.06,20.86,8.8529,714.856,4.15,-0.17,"Mix et al., 1995"
"138-849D-2H-3,66",17.16,20.96,8.9092,718.507,4.26,-0.22,"Mix et al., 1995"
"138-849D-2H-3,86",17.36,21.16,9.02179,726.014,4.26,-0.14,"Mix et al., 1995"
"138-849D-2H-3,95",17.45,21.25,9.07246,729.533,4.29,-0.32,"Mix et al., 1995"
"138-849D-2H-3,96",17.46,21.26,9.07809,729.931,4.38,-0.28,"Mix et al., 1995"
"138-849D-2H-3,106",17.56,21.36,9.13439,733.7,4.36,-0.34,"Mix et al., 1995"
"138-849D-2H-3,116",17.66,21.46,9.19068,737.469,4.15,-0.07,"Mix et al., 1995"
"138-849D-2H-3,126",17.76,21.56,9.24698,741.237,4.26,-0.23,"Mix et al., 1995"
"138-849D-2H-3,136",17.86,21.66,9.30327,745.006,4.22,-0.27,"Mix et al., 1995"
"138-849D-2H-3,146",17.96,21.76,9.35957,748.775,4.17,-0.41,"Mix et al., 1995"
"138-849D-2H-4,6",18.06,21.86,9.43429,752.544,4.14,-0.57,"Mix et al., 1995"
"138-849D-2H-4,16",18.16,21.96,9.51951,756.115,4.15,-0.46,"Mix et al., 1995"
"138-849D-2H-4,26",18.26,22.06,9.60473,760.081,4.36,-0.45,"Mix et al., 1995"
"138-849D-2H-4,36",18.36,22.16,9.68995,763.85,4.18,-0.44,"Mix et al., 1995"
"138-849D-2H-4,46",18.46,22.26,9.75986,767.619,4.25,-0.35,"Mix et al., 1995"
"138-849D-2H-4,56",18.56,22.36,9.8162,771.429,3.76,-0.25,"Mix et al., 1995"
"138-849D-2H-4,66",18.66,22.46,9.87254,775.347,3.85,-0.18,"Mix et al., 1995"
"138-849D-2H-4,76",18.76,22.56,9.92887,779.048,3.67,0.12,"Mix et al., 1995"
"138-849D-2H-4,86",18.86,22.66,9.98521,782.858,3.51,-0.2,"Mix et al., 1995"
"138-849D-2H-4,96",18.96,22.76,10.0416,787.067,3.56,-0.24,"Mix et al., 1995"
"138-849D-2H-4,106",19.06,22.86,10.0979,790.8,3.93,-0.33,"Mix et al., 1995"
"138-849D-2H-4,116",19.16,22.96,10.1542,794.287,3.99,-0.58,"Mix et al., 1995"
"138-849D-2H-4,126",19.26,23.06,10.2106,798.097,4.62,-0.53,"Mix et al., 1995"
"138-849D-2H-4,136",19.36,23.16,10.2669,801.906,4.36,-0.59,"Mix et al., 1995"
"138-849D-2H-4,146",19.46,23.26,10.3232,805.716,4.31,-0.3,"Mix et al., 1995"
"138-849D-2H-5,6",19.56,23.36,10.3796,809.526,4.1,-0.22,"Mix et al., 1995"
"138-849D-2H-5,16",19.66,23.46,10.4359,813.821,4.12,-0.36,"Mix et al., 1995"
"138-849D-2H-5,26",19.76,23.56,10.4923,818.116,3.92,-0.17,"Mix et al., 1995"
