depth,age_ka,d18O
202.09,2824.67,3.33
202.34,2828.46,3.35
202.59,2831.74,3.42
202.84,2834.76,3.62
203.09,2837.8,3.49
203.09,2837.8,3.52
203.09,2837.8,3.52
203.34,2840.83,3.67
203.59,2843.87,3.74
203.84,2847.96,3.51
204.09,2853.55,3.42
204.34,2860.58,3.37
204.59,2870.05,3.23
204.59,2870.05,3.23
204.59,2870.05,3.29
204.84,2879.54,3.52
205.09,2889,3.48
205.34,2898.47,3.15
205.59,2907.94,3.19
205.84,2917.4,3.44
206.09,2926.87,3.61
206.09,2926.87,3.36
206.09,2926.87,3.6
206.09,2926.87,3.61
206.34,2936.36,3.06
206.59,2945.83,3.09
206.84,2955.28,3.32
207.09,2963.37,3.32
207.34,2969.69,3.52
207.34,2969.69,3.44
207.59,2976.01,3.67
207.78,2980.8,3.45
208.28,2993.42,3.05
208.28,2993.42,3.3
208.53,2999.73,3.43
208.78,3006.04,3.62
