depth,age_ka,mcd,CaCO3,MAR,label
67.22,1594.5,72.79,0.4,0.02,"145-882A-8H-1,140-144"
67.25,1587.1,72.36,0.1,0,"145-882B-8H-4,135-139"
67.52,1599.6,73.08,0.1,0,"145-882A-8H-2,20-24"
67.82,1604.7,73.37,0.1,0,"145-882A-8H-2,50-54"
68.12,1609,73.66,0.1,0.01,"145-882A-8H-2,80-84"
68.36,1612.4,73.89,0.2,0.01,"145-882A-8H-2,104-108"
68.43,1613.4,73.96,0,0,"145-882A-8H-2,113-114"
68.72,1617.5,74.24,0.1,0,"145-882A-8H-2,140-144"
69.02,1621.8,74.53,0.1,0,"145-882A-8H-3,20-24"
69.34,1627.5,74.84,0.1,0,"145-882A-8H-3,52-56"
69.62,1635,75.11,0.1,0,"145-882A-8H-3,80-84"
69.86,1641.4,75.34,0.1,0,"145-882A-8H-3,104-108"
69.92,1643.1,75.4,0,0,"145-882A-8H-3,112-113"
70.22,1649.5,75.69,0.2,0,"145-882A-8H-3,140-144"
70.52,1655.4,75.98,2.4,0.07,"145-882A-8H-4,20-24"
70.84,1661.5,76.28,0,0,"145-882A-8H-4,52-56"
71.12,1667.1,76.55,0,0,"145-882A-8H-4,80-84"
71.36,1672,76.79,0.1,0,"145-882A-8H-4,104-108"
71.42,1673,76.84,0,0,"145-882A-8H-4,112-113"
71.72,1677.6,77.13,0.1,0.01,"145-882A-8H-4,140-144"
71.9,1680.3,77.31,0.3,0.01,"145-882A-8H-5,10-12"
72.02,1682,77.42,0.2,0.01,"145-882A-8H-5,20-24"
72.2,1684.7,77.6,9.3,0.4,"145-882A-8H-5,40-42"
72.34,1686.6,77.73,16.9,0.74,"145-882A-8H-5,52-56"
72.62,1690.7,78,6,0.32,"145-882A-8H-5,80-84"
72.86,1694.1,78.23,0.2,0.01,"145-882A-8H-5,104-108"
72.92,1695.1,78.29,0,0,"145-882A-8H-5,112-113"
73,1696.3,78.37,0,0,"145-882A-8H-5,120-122"
73.22,1702.3,78.58,0,0,"145-882A-8H-5,140-144"
73.52,1710.1,78.87,0.1,0,"145-882A-8H-6,20-24"
73.78,1714.4,79.12,0.2,0.01,"145-882A-8H-6,46-50"
74.12,1721.2,79.45,0,0,"145-882A-8H-6,80-84"
74.3,1738.9,80.29,0.1,0,"145-882B-9H-3,40-42"
74.36,1727.5,79.68,0.1,0,"145-882A-8H-6,104-108"
74.4,1740.7,80.39,0.2,0.01,"145-882B-9H-3,50-52"
74.41,1728.6,79.73,0,0,"145-882A-8H-6,111-112"
74.5,1730,79.81,0.1,0,"145-882A-8H-6,120-122"
74.5,1742.3,80.48,0.2,0.01,"145-882B-9H-3,60-63"
74.6,1744,80.57,0.4,0.01,"145-882B-9H-3,70-73"
74.7,1745.8,80.67,0.2,0.01,"145-882B-9H-3,80-82"
74.72,1733.9,80.02,0.1,0,"145-882A-8H-6,140-144"
74.8,1747.5,80.76,0.2,0.01,"145-882B-9H-3,90-93"
74.9,1749.3,80.86,0.1,0,"145-882B-9H-3,100-103"
75.02,1751.4,80.97,0.1,0,"145-882B-9H-3,112-114"
75.1,1752.6,81.04,0.2,0.01,"145-882B-9H-3,120-122"
75.2,1754.5,81.14,0.1,0,"145-882B-9H-3,130-133"
75.3,1756.1,81.23,0.1,0,"145-882B-9H-3,140-143"
75.45,1758.7,81.37,0.1,0,"145-882B-9H-4,5-7"
75.55,1762.1,81.47,0.2,0,"145-882B-9H-4,15-18"
75.65,1768.4,81.56,1.6,0.01,"145-882B-9H-4,25-27"
75.74,1802.1,82.07,0.1,0,"145-882A-9H-1,44-46"
75.75,1775.3,81.66,5.4,0.05,"145-882B-9H-4,35-37"
75.82,1806.2,82.16,0.2,0,"145-882A-9H-1,50-54"
75.85,1781.6,81.75,1.6,0.01,"145-882B-9H-4,45-48"
75.9,1809.8,82.24,0.1,0,"145-882A-9H-1,60-62"
75.95,1788.6,81.85,0.9,0.01,"145-882B-9H-4,55-58"
76.05,1794.8,81.94,0.7,0.01,"145-882B-9H-4,65-67"
76.12,1825.9,82.45,0.1,0,"145-882A-9H-1,80-84"
76.15,1800.3,82.03,0.5,0.01,"145-882B-9H-4,75-77"
76.18,1831.1,82.51,0,0,"145-882A-9H-1,88-90"
76.36,1843.6,82.68,0.1,0,"145-882A-9H-1,104-108"
76.42,1848.5,82.74,0,0,"145-882A-9H-1,112-113"
76.5,1855.4,82.82,0.1,0,"145-882A-9H-1,120-122"
76.72,1873.6,83.03,0.1,0,"145-882A-9H-1,140-144"
76.9,1889.3,83.21,0,0,"145-882A-9H-2,10-12"
77.02,1898.8,83.32,0.1,0,"145-882A-9H-2,20-24"
77.21,1911.8,83.51,0.1,0,"145-882A-9H-2,41-43"
77.32,1917.8,83.61,0.1,0,"145-882A-9H-2,50-54"
77.4,1922.5,83.69,0,0,"145-882A-9H-2,60-63"
77.62,1934.8,83.9,0.1,0,"145-882A-9H-2,80-84"
77.86,1947.7,84.14,0,0,"145-882A-9H-2,104-108"
77.92,1949,84.2,0,0,"145-882A-9H-2,112-113"
78.22,1955.5,84.49,0.1,0,"145-882A-9H-2,140-144"
78.4,1959.3,84.66,0,0,"145-882A-9H-3,10-12"
78.52,1962,84.78,0.1,0,"145-882A-9H-3,20-24"
78.66,1964.9,84.91,0.1,0,"145-882A-9H-3,36-39"
78.82,1968.5,85.07,2.3,0.08,"145-882A-9H-3,50-54"
78.89,1970.1,85.14,2.5,0.08,"145-882A-9H-3,59-62"
79.1,1974.6,85.34,0.1,0,"145-882A-9H-3,78-82"
79.18,1976.7,85.42,0,0,"145-882A-9H-3,88-90"
