Leg,Site,Hole,Core,Type,Section,Top,Bottom,mbsf,age_orig,species,d13C,d18O_unadj,age_lower,age_ka,age_upper
198,1207,A,7,H,4,58.99,59.01,58.99,3333.5,C.wuellerstorfi,-0.25,3.04,3309.4,3313.8,3321
198,1207,A,7,H,4,59.04,59.06,59.04,3334.3,C.wuellerstorfi,-0.18,2.9,3310.9,3315.3,3322.8
198,1207,A,7,H,4,59.09,59.11,59.09,3335.1,C.wuellerstorfi,-0.25,2.75,3312.6,3317.1,3324.3
198,1207,A,7,H,4,59.14,59.16,59.14,3335.9,C.wuellerstorfi,-0.06,2.67,3313.8,3319.1,3326
198,1207,A,7,H,4,59.19,59.21,59.19,3336.7,C.wuellerstorfi,0.09,2.82,3315.4,3321.4,3327.4
198,1207,A,7,H,4,59.24,59.26,59.24,3337.5,C.wuellerstorfi,-0.16,2.67,3316.7,3323.4,3328.7
198,1207,A,7,H,4,59.29,59.31,59.29,3338.3,C.wuellerstorfi,-0.09,2.81,3318.1,3325.1,3329.9
198,1207,A,7,H,4,59.34,59.36,59.34,3339.1,C.wuellerstorfi,-0.06,2.63,3319.8,3326.9,3331.2
198,1207,A,7,H,4,59.38,59.4,59.38,3339.8,C.wuellerstorfi,0.04,2.48,3321.5,3328.3,3332.3
198,1207,A,7,H,4,59.43,59.45,59.43,3340.6,C.wuellerstorfi,-0.024,2.82,3323.5,3329.9,3333.8
198,1207,A,7,H,4,59.48,59.5,59.48,3341.4,C.wuellerstorfi,-0.162,2.79,3325.3,3331.4,3335.2
198,1207,A,7,H,4,59.53,59.55,59.53,3342.2,C.wuellerstorfi,-0.017,2.92,3326.9,3332.9,3336.6
198,1207,A,7,H,4,59.58,59.6,59.58,3343,C.wuellerstorfi,-0.165,2.66,3328.2,3334.3,3337.9
198,1207,A,7,H,4,59.68,59.7,59.68,3344.6,C.wuellerstorfi,-0.278,2.8,3331.2,3336.7,3340.4
198,1207,A,7,H,4,59.73,59.74,59.73,3345.4,C.wuellerstorfi,-0.058,2.89,3332.8,3338.1,3341.7
198,1207,A,7,H,4,59.77,59.79,59.77,3346,C.wuellerstorfi,-0.072,2.8,3334,3339.2,3342.8
198,1207,A,7,H,4,59.82,59.84,59.82,3346.8,C.wuellerstorfi,-0.096,2.85,3335.4,3340.6,3344
198,1207,A,7,H,4,59.92,59.94,59.92,3348.4,C.wuellerstorfi,-0.188,2.91,3337.9,3343.1,3346.3
198,1207,A,7,H,4,59.97,59.99,59.97,3349.2,C.wuellerstorfi,-0.014,2.74,3339.3,3344.6,3347.6
198,1207,A,7,H,4,60.02,60.04,60.02,3350,C.wuellerstorfi,-0.059,2.88,3340.7,3345.9,3348.8
198,1207,A,7,H,4,60.07,60.09,60.07,3351.5,C.wuellerstorfi,-0.176,2.84,3342.2,3347.5,3350.1
198,1207,A,7,H,4,60.12,60.13,60.12,3353,C.wuellerstorfi,-0.167,2.89,3343.8,3349,3351.2
198,1207,A,7,H,4,60.16,60.18,60.16,3354.2,C.wuellerstorfi,-0.251,2.66,3345.2,3350.3,3352.4
198,1207,A,7,H,4,60.21,60.23,60.21,3355.7,C.wuellerstorfi,-0.204,2.79,3347.2,3351.8,3354
198,1207,A,7,H,5,60.26,60.28,60.26,3357.2,C.wuellerstorfi,-0.138,2.93,3349.5,3353.2,3355.6
198,1207,A,7,H,5,60.31,60.33,60.31,3358.7,C.wuellerstorfi,-0.098,2.95,3351.4,3354.7,3357
198,1207,A,7,H,5,60.36,60.38,60.36,3360.2,C.wuellerstorfi,-0.178,2.83,3353.2,3356.1,3358.4
198,1207,A,7,H,5,60.41,60.43,60.41,3361.7,C.wuellerstorfi,-0.204,2.9,3354.8,3357.5,3359.8
198,1207,A,7,H,5,60.46,60.48,60.46,3363.2,C.wuellerstorfi,-0.084,2.8,3356.6,3358.9,3361
198,1207,A,7,H,5,60.51,60.52,60.51,3364.7,C.wuellerstorfi,-0.053,2.83,3358.2,3360.4,3362.4
198,1207,A,7,H,5,60.55,60.57,60.55,3365.9,C.wuellerstorfi,-0.03,2.73,3359.4,3361.5,3363.4
198,1207,A,7,H,5,60.6,60.62,60.6,3367.4,C.wuellerstorfi,0.063,2.83,3360.9,3362.9,3364.7
198,1207,A,7,H,5,60.65,60.67,60.65,3368.9,C.wuellerstorfi,0.039,2.72,3362.4,3364.3,3365.9
198,1207,A,7,H,5,60.7,60.72,60.7,3370.4,C.wuellerstorfi,0.017,2.77,3363.7,3365.7,3367
198,1207,A,7,H,5,60.75,60.77,60.75,3371.9,C.wuellerstorfi,0.012,2.8,3365.4,3367.1,3368.1
198,1207,A,7,H,5,60.8,60.82,60.8,3373.4,C.wuellerstorfi,-0.03,2.69,3367.1,3368.5,3369.3
198,1207,A,7,H,5,60.85,60.87,60.85,3374.9,C.wuellerstorfi,-0.142,2.73,3369.6,3370,3370
