Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18Oadj,d13Cadj,age_ka,MIS,CODE,LiCa,BCa,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,UCa,FeCa
,ODP1209,A,4,H,5,130,132,34.5,38.17,CWUEL,3.28,-0.16,3.92,-0.16,2613.15,,M3,11.17156307,16.60968079,2.996244906,1.02628487,11.18251058,43.5991194,1.023116087,0.132564404,4.245032376,0.38705471,20.94963072,12.83850842
S17 3810,ODP1209,A,4,H,5,135,137,34.55,38.22,CWUEL,3.13,-0.19,3.77,-0.19,2616.5918,,M8,10.70982196,16.97336813,2.587376893,1.034884639,8.077507426,66.36809446,0.994608827,0.16329451,2.982032915,0.531471058,22.81972862,15.07982377
,ODP1209,A,4,H,5,138,140,34.58,38.25,CWUEL,3.39,-0.34,4.03,-0.34,2618.52,,M4/M5,11.02247442,14.93001272,2.769924389,0.895258982,6.077269115,51.65050691,1.017182641,0.142261832,3.141505994,0.408986468,20.90225271,13.3804354
,ODP1209,A,4,H,5,142,144,34.62,38.29,CWUEL,2.8,-0.15,3.44,-0.15,2621.08,,M6,11.28045573,18.28885978,2.868249761,1.034353176,7.633994751,41.18369675,0.991868044,0.135465379,3.009448323,0.323081168,18.76233854,12.31745639
S17 3811,ODP1209,A,4,H,5,145,147,34.65,38.32,CWUEL,2.82,0.11,3.46,0.11,2623.0411,,T13,11.8366,14.0419,2.5977,0.8363,9.7443,44.6609,1.0352,0.1592,7.8509,0.3014,17.5138,7.2159
,ODP1209,A,4,H,6,4,6,34.74,38.41,CWUEL,3.22,-0.25,3.86,-0.25,2628.22,,T3,10.96664444,14.43945934,2.701715068,0.906846021,3.870840394,37.91548035,0.993013362,0.120020209,6.264637358,0.200010662,10.02065755,10.91066336
S17 3794,ODP1209,A,4,H,6,5,7,34.75,38.42,CWUEL,3.02,-0.02,3.66,-0.02,2628.82324,,T14,11.5654,14.6365,2.6812,0.8979,18.423,45.3217,1.0211,0.1509,3.1395,0.2598,18.5882,10.1557
,ODP1209,A,4,H,6,8,10,34.78,38.45,CWUEL,3.21,-0.25,3.85,-0.25,2630.06,,T4/T5,11.04574389,16.58672866,2.730128085,0.93812422,7.306680695,51.39036944,1.012674632,0.124270309,3.045724914,0.287499672,12.42055675,14.28865219
,ODP1209,A,4,H,6,12,14,34.82,38.49,CWUEL,3.01,-0.15,3.65,-0.15,2631.74,,T6,11.62633501,15.47322508,2.694664659,0.930168754,2.433852019,44.87559123,1.036552381,0.122387569,2.892285453,0.2146096,10.02221057,10.01875267
S17 3795,ODP1209,A,4,H,6,15,17,34.85,38.52,CWUEL,3.15,-0.25,3.79,-0.25,2633.04865,,M9,10.36589675,15.22686241,2.807075692,0.888160305,8.96331007,47.07166907,1.043485732,0.128798299,3.275218648,0.280840184,16.18858978,14.09625575
,ODP1209,A,4,H,6,18,20,34.88,38.55,CWUEL,3.19,-0.24,3.83,-0.24,2634.38,,T7,11.6440244,16.07829753,2.755975713,1.016333956,5.657631729,51.31642344,1.021553263,0.130305647,2.909304477,0.256512847,21.36487848,12.70657939
S17 3791,ODP1209,B,5,H,1,125,127,34.85,38.57,CWUEL,3.15,-0.22,3.79,-0.22,2635.27255,,T18,11.6858,13.8223,2.6769,0.9724,11.82535,57.75235,1.01315,0.13835,2.69045,0.29315,14.5356,2.01965
,ODP1209,A,4,H,6,22,24,34.92,38.59,CWUEL,3.05,-0.05,3.69,-0.05,2636.1,,T8,12.08292971,15.03412849,2.682807828,0.921195215,3.607835664,51.33883881,1.026368597,0.143825336,2.967222781,0.373483232,17.5283431,12.34833391
S17 3796,ODP1209,A,4,H,6,25,27,34.95,38.62,CWUEL,3.33,-0.38,3.97,-0.38,2637.27406,,K1,11.23822651,15.48192467,2.786916604,0.984641944,11.07564681,55.29200572,1.014522787,0.127841179,2.947990005,0.311960372,16.69673824,12.58004186
S17 3792,ODP1209,B,5,H,1,135,137,34.95,38.67,CWUEL,3.32,-0.28,3.96,-0.28,2639.27557,,K2,11.4542947,17.62629505,4.320774316,1.029708894,63.7506713,38.65087993,0.99834116,0.132700018,3.407709353,0.343551721,11.12383842,16.42725318
S17 3793,ODP1209,B,5,H,1,145,147,35.05,38.77,CWUEL,3.26,-0.34,3.9,-0.34,2642.83381,,T15,12.0633,14.3423,2.8945,0.9743,18.1727,40.0263,1.0645,0.1346,3.2499,0.4282,7.4285,7.1439
S18 0780,ODP1209,B,5,H,2,0,2,35.1,38.82,CWUEL,3.07,-0.19,3.71,-0.19,2644.83532,,K3,12.49489798,17.65202876,4.699123895,1.179821281,69.30596926,44.41686775,0.996735476,0.120137648,5.571946993,0.495901942,9.239001835,17.45447592
,ODP1209,B,5,H,2,2,4,35.12,38.84,CWUEL,3.57,-1.54,4.21,-1.54,2645.52,,X1,11.40994154,15.89138315,2.701531893,1.072694189,9.617691571,45.83763135,1.029658526,0.111351341,14.26150217,0.428132312,9.463998752,11.94195478
S17 3536,ODP1209,B,5,H,2,5,7,35.15,38.87,CWUEL,3.23,-0.18,3.87,-0.18,2646.61444,,T16,11.1557,12.54735,2.61235,0.9315,8.4484,49.70335,1.02635,0.13075,3.0844,0.45675,10.1393,5.01425
,ODP1209,B,5,H,2,8,10,35.18,38.9,CWUEL,3.1,-0.23,3.74,-0.23,2647.68,,X2,11.65583053,14.85993253,3.384857372,1.078745541,34.6876203,41.54461264,1.009288366,0.118304412,3.671161447,0.345350942,12.81467539,15.2746965
,ODP1209,B,5,H,2,12,14,35.22,38.94,CWUEL,3.03,-0.12,3.67,-0.12,2649.12,,X3,12.01651214,15.75380354,3.324904754,1.043996842,8.609985298,47.4351041,1.013993397,0.122404403,3.288564966,0.337389544,14.66756436,12.34714991
S17 3537,ODP1209,B,5,H,2,15,17,35.25,38.97,CWUEL,3.28,-0.09,3.92,-0.09,2650.17267,,,,,,,,,,,,,,
,ODP1209,B,5,H,2,18,20,35.28,39,CWUEL,3.07,-0.06,3.71,-0.06,2651.52,,X4,11.03390421,15.84955586,2.662441485,0.996393883,5.794875881,58.11601513,1.010254637,0.119747683,3.126279594,0.408330078,15.68911208,12.68833423
