age_ka,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2031.39856,2.9548,1.50909,4.45281,0.20773,5.98253,0.18617,-0.17666,0.57379,-0.54314,0.9619
2035.19798,2.69822,1.33165,4.06609,0.00727,5.29843,0.14597,-0.20464,0.49535,-0.58607,0.84933
2035.69787,3.66779,2.23591,5.09222,0.71975,6.39517,0.45917,0.04477,0.83981,-0.31785,1.19454
2037.49791,4.0025,2.66188,5.30129,1.33051,6.46774,0.58565,0.21113,0.9486,-0.13466,1.27366
2038.39795,4.54338,3.23491,5.88415,1.83929,7.18664,0.811,0.45412,1.18307,0.06079,1.5551
2039.99785,4.68559,3.31808,6.01442,2.17423,7.27058,0.89201,0.5345,1.25344,0.2086,1.62946
2040.69782,4.40881,2.83634,5.87754,0.98669,7.45824,0.89078,0.51244,1.27312,0.11028,1.69375
2043.59763,NaN,-0.41244,5.80164,-1.53886,7.42664,NaN,-0.30208,1.41458,-0.61648,1.79877
2045.19737,2.54642,1.19608,3.86825,-0.00293,5.21109,0.47118,0.11014,0.82615,-0.20626,1.18565
2046.59715,3.3216,1.8381,4.65305,0.52885,6.07733,0.66128,0.2755,1.00937,-0.08318,1.36544
2047.79725,3.75994,2.38495,5.03349,1.04086,6.37162,0.67528,0.30453,1.02238,-0.05231,1.34937
2048.79771,3.68065,2.34086,4.98616,0.97951,6.38142,0.60617,0.22268,0.96304,-0.08399,1.31218
2050.39765,3.55372,2.30481,4.86598,0.97279,6.21875,0.54883,0.18756,0.89646,-0.1508,1.27278
2051.39732,3.49344,2.23094,4.80036,1.05673,6.14549,0.50578,0.13626,0.84001,-0.16694,1.26718
2055.29623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2056.99639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2061.89706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2064.49757,NaN,0.32008,6.47937,-0.91412,7.12453,NaN,0.27799,1.95386,-0.02181,2.1925
2066.19744,3.29082,1.95282,4.67473,0.51844,5.93472,0.98948,0.64363,1.35143,0.23414,1.72844
2067.39723,1.60672,0.07805,3.4436,-1.29697,5.15274,0.50888,0.09936,0.99039,-0.24669,1.4192
2069.19697,1.07563,-0.21107,2.44468,-1.58808,3.73363,0.48356,0.13271,0.85644,-0.23396,1.24285
2070.39678,1.20441,-0.21343,2.5584,-1.56401,3.90271,0.58832,0.21824,0.94539,-0.1168,1.2884
2072.19669,1.21148,-0.0757,2.49589,-1.50939,3.75261,0.55614,0.19408,0.88633,-0.19838,1.19981
2073.69679,0.64425,-0.73053,2.03044,-2.20571,3.40986,0.39099,0.02635,0.75407,-0.35289,1.10466
2075.09698,0.35404,-0.97049,1.64536,-2.25828,3.08535,0.22903,-0.1042,0.58748,-0.49469,0.94395
2076.29706,0.66342,-0.73608,1.96517,-2.12952,3.27606,0.2536,-0.10033,0.61019,-0.50557,0.98246
2078.29752,0.71778,-0.6098,2.00341,-2.0578,3.33272,0.25879,-0.09026,0.6147,-0.46871,0.95474
2079.29784,0.72466,-0.72478,1.99431,-2.16491,3.28258,0.2575,-0.10972,0.6003,-0.46699,0.93059
2081.19775,2.00946,0.15896,3.8287,-1.42603,5.42787,0.37012,-0.09463,0.80456,-0.50567,1.19713
2083.79805,2.33866,0.49856,4.04445,-1.05332,5.61638,0.4033,-0.05914,0.83905,-0.49592,1.21429
