depth,age_ka,d18O
171.54,3643.8,3.18
171.57,3644.32,3.32
171.59,3644.67,3.28
171.64,3645.55,2.99
171.69,3646.42,3.15
171.74,3647.29,3.2
171.79,3648.17,2.96
171.82,3648.69,3.17
171.89,3649.91,3.15
171.94,3650.79,3.06
171.99,3651.66,3.42
172.02,3652.18,3.28
172.09,3653.41,3.27
172.14,3654.28,3.33
172.19,3655.15,3.42
172.22,3655.68,3.4
172.29,3656.9,3.45
172.34,3657.77,3.38
172.39,3658.65,3.42
172.42,3659.17,3.5
172.44,3659.52,3.68
172.49,3660.39,3.3
172.54,3661.27,3.43
172.59,3662.14,3.64
172.62,3662.66,3.63
172.64,3663.01,3.48
172.69,3663.89,3.36
172.74,3664.76,3.86
172.79,3665.63,3.69
172.82,3666.16,3.57
172.84,3666.51,3.72
172.89,3667.38,3.65
172.94,3668.25,3.67
172.99,3669.13,3.51
173.02,3669.65,3.54
173.04,3670,3.93
173.09,3671.02,3.5
173.14,3672.04,3.37
173.19,3673.06,3.83
173.22,3673.67,3.61
173.24,3674.08,3.69
173.29,3675.1,3.52
173.34,3676.12,3.61
173.37,3676.73,3.55
173.39,3677.14,3.54
173.44,3678.16,3.3
173.49,3679.18,3.64
173.54,3680.2,3.32
173.59,3681.22,3.2
173.62,3681.84,3.27
173.64,3682.24,3.46
173.69,3683.27,3.1
173.74,3684.29,3.32
173.79,3685.31,3.16
173.82,3685.92,3.28
173.84,3686.33,3.17
173.89,3687.35,3.34
173.94,3688.37,3.25
173.99,3689.39,3.31
174.02,3690,3.17
174.04,3690.24,3.3
174.09,3690.84,3.23
174.14,3691.44,3.25
174.19,3692.04,3.32
174.22,3692.4,3.18
174.24,3692.63,3.51
174.29,3693.23,3.23
174.34,3693.83,3.48
174.37,3694.19,3.21
174.39,3694.43,3.12
174.44,3695.03,3.28
174.49,3695.63,3.33
174.54,3696.23,3.2
174.59,3696.83,3.15
174.64,3697.43,3.26
174.69,3698.02,3.33
174.74,3698.62,3.21
174.79,3699.22,3.41
174.89,3700.42,3.33
174.94,3701.02,3.26
174.99,3701.62,3.5
175.02,3701.98,3.34
175.04,3702.22,3.56
175.09,3702.81,3.4
175.1,3702.92,3.36
175.14,3703.41,3.42
175.14,3703.47,3.31
175.19,3704.01,3.6
175.22,3704.37,3.47
175.24,3704.61,3.42
175.29,3705.21,3.46
175.32,3705.51,3.49
175.34,3705.81,3.43
175.44,3707.01,3.55
175.57,3708.51,3.54
175.69,3710.02,3.6
175.82,3711.67,3.42
176.07,3714.98,3.56
176.19,3716.64,3.56
176.32,3718.29,3.44
176.57,3721.6,3.3
176.57,3721.62,3.38
176.69,3723.26,3.31
176.82,3724.91,3.26
176.94,3726.57,3.16
177.07,3728.22,3.19
177.14,3729.15,3.11
177.19,3729.88,3.18
177.26,3730.73,3.16
177.31,3731.37,3.16
177.36,3732.02,3.12
177.38,3732.32,3.15
177.41,3732.67,3.17
177.5,3733.96,3.18
177.55,3734.61,3.37
177.58,3734.96,3.18
177.6,3735.26,3.1
177.65,3735.9,3.3
177.7,3736.55,3.22
177.74,3737.08,3.31
177.75,3737.2,3.27
177.8,3737.84,3.07
177.85,3738.49,3.17
177.9,3739.14,3.31
177.91,3739.32,3.46
177.95,3739.79,3.13
177.99,3740.43,3.13
178.04,3741.08,3.33
178.09,3741.73,3.58
178.14,3742.37,3.44
178.17,3742.75,3.6
178.19,3743.02,3.44
178.24,3743.67,3.38
178.29,3744.32,3.4
178.34,3744.96,3.58
178.36,3745.68,3.45
178.39,3746.58,3.48
178.44,3748.26,3.52
178.48,3749.93,3.44
178.53,3751.61,3.41
178.58,3753.29,3.4
178.63,3754.97,3.37
178.68,3756.64,3.19
178.71,3757.67,3.35
178.73,3758.32,3.34
178.78,3760,3.28
178.83,3761.68,3.28
178.88,3763.35,3.23
178.92,3765.03,3.25
178.96,3766.23,3.3
178.97,3766.71,3.19
179.02,3768.39,3.15
179.07,3770.06,3.2
179.12,3771.74,2.91
179.15,3772.74,3.22
