Leg,Site,Hole,Core,Type,Section,Top,Bottom,Mid Depth,mbsf,age_ka,U_auth,Mn_excess,Ba_excess,Opal_conc,C_37,CaCO3_conc
198,1208,A,18,H,1,88,90,157.59,157.5444023,3619.210401,0.033384888,835.7229532,1406.731583,7.404396709,1.309011035,44.74
198,1208,A,18,H,2,88,90,159.09,158.9675522,3672.293255,0,185.4113731,2199.073256,11.47412281,1.794928905,25.69
198,1208,A,18,H,3,87,89,160.58,160.3812144,3733.067228,0.150843873,1044.056343,1010.384778,7.209067835,0.486063548,73.58
198,1208,A,18,H,4,87,89,162.08,161.8043643,3785.278641,0.057795873,1007.521221,1107.73457,5.320047291,0.231971408,67.88
198,1208,A,18,H,5,88,90,163.59,163.2370019,3837.838131,0.82576962,1128.49696,1290.569681,5.913356376,1.55134143,72.18
198,1208,A,18,H,6,88,90,165.09,164.6601518,3890.049544,0.017220934,446.8485044,2702.97231,9.954994032,1.199279512,24.55
198,1208,A,18,H,7,53,55,166.24,165.7512334,3930.078294,0.732640601,1384.999244,737.8848807,4.217397914,0.724478417,78.8
198,1208,A,19,H,1,28,30,166.49,166.4772467,3956.713702,0.028158001,1156.92062,1323.060973,7.201146226,0.892885033,59.76
198,1208,A,19,H,1,88,90,167.09,167.0508604,3977.757996,0.070091046,1258.940651,1057.036758,5.320672099,1.242714844,70.21
198,1208,A,19,H,2,68,70,168.39,168.2936902,4023.353967,0.176171529,946.7253158,1229.750914,7.10543125,1.010988886,65.72
198,1208,A,19,H,2,108,110,168.79,168.6760994,4037.383496,0.052539408,864.9405147,1343.816458,6.779671046,1.80074965,59.78
198,1208,A,19,H,3,28,30,169.49,169.3453155,4061.935173,0.113752286,817.6668376,1433.348955,7.779812559,0.80742658,61.84
198,1208,A,19,H,3,92,94,170.13,169.9571702,4084.38242,0.33696513,886.8054483,1024.597778,6.288423042,0.461667142,68.99
198,1208,A,19,H,4,58,60,171.29,171.0661568,4125.068056,0,984.0075204,838.2059755,5.389171028,0.294970034,74.82
198,1208,A,19,H,4,85,87,171.56,171.324283,4134.537988,0.021323007,840.3558757,761.6151671,7.663317618,0.078530656,74.28
198,1208,A,19,H,5,85,87,173.06,172.7583174,4184.964569,0.123181795,1030.238765,970.4793443,5.636844979,0.150580168,74.83
198,1208,A,19,H,6,24,26,173.95,173.6091778,4213.234972,0,326.8887997,1965.74196,8.858023744,3.398058414,42.87
198,1208,A,19,H,6,64,66,174.35,173.991587,4225.940771,0.784404378,942.5309696,1381.504777,5.029469997,0.485893901,68.89
198,1208,A,20,H,1,50,52,176.21,176.1843305,4298.796132,0.507698945,864.0733406,916.0557033,8.127781266,0.52526628,68.92
198,1208,A,20,H,1,94,96,176.65,176.6021842,4312.274834,0.580727897,1161.312116,749.0800881,3.932435731,,81.71
198,1208,A,20,H,2,24,26,177.45,177.3619183,4335.718543,0.558512588,744.0175918,1104.635252,10.61618087,,65.1
198,1208,A,20,H,2,104,106,178.25,178.1216524,4359.162252,0.248485682,1292.455489,757.257859,4.571738117,,81.33
198,1208,A,20,H,3,28,30,178.99,178.8244065,4380.847682,0,571.8824647,1755.756933,9.438589675,,49.36
198,1208,A,20,H,3,94,96,179.65,179.4511871,4400.188742,0.113520209,1156.326545,814.2077906,4.192176212,,78.49
198,1208,A,20,H,4,94,96,181.15,180.8756885,4444.145695,0.134134691,1324.114771,908.7909883,4.960535189,,73.48
198,1208,A,20,H,5,28,30,181.99,181.6734093,4468.761589,0.10356599,1121.425323,1028.317931,4.356717278,,75.13
198,1208,A,20,H,5,94,96,182.65,182.3001899,4488.769837,0.007065319,901.2175846,1281.920899,6.105673428,,62.68
198,1208,A,20,H,6,20,22,183.41,183.0219373,4514.663235,0,691.25955,1598.068289,6.707222324,,53.9
198,1208,A,20,H,6,95,97,184.16,183.734188,4540.21593,0,1011.520976,1067.510334,4.641432166,,71.165
