lower95_age,age_ka,upper95_age,depth (mcd),Species,d18O_unadj,d18O,d13C
2717.091972,2723.604466,2729.452419,40.57,CWUEL,3.54,4.18,-0.52
2720.813397,2726.528442,2731.711855,40.62,CWUEL,3.59,4.23,-0.40
2724.800638,2729.585327,2734.635832,40.67,CWUEL,3.31,3.95,-0.13
2728.920787,2733.040936,2737.692717,40.72,CWUEL,3.03,3.67,-0.19
2732.110579,2736.230728,2741.414141,40.77,CWUEL,2.94,3.58,-0.09
2734.635832,2739.686337,2744.603934,40.82,CWUEL,2.72,3.36,0.10
2737.161085,2742.610314,2747.395003,40.87,CWUEL,2.74,3.38,-0.05
2738.623073,2744.20521,2748.724083,40.9,CWUEL,3.05,3.69,-0.25
2747.527911,2752.711324,2757.761829,41.12,CWUEL,2.60,3.24,-0.57
2751.249335,2755.236576,2760.951621,41.17,CWUEL,3.07,3.71,-0.19
2753.64168,2757.628921,2763.609782,41.22,CWUEL,2.93,3.57,-0.23
2757.230197,2760.419989,2767.331207,41.27,CWUEL,3.06,3.70,-0.12
2758.958001,2762.280702,2768.926103,41.3,CWUEL,3.26,3.90,-0.16
2761.217438,2766.267943,2773.577884,41.37,CWUEL,2.98,3.62,0.10
2763.343966,2769.059011,2776.236045,41.42,CWUEL,3.02,3.66,0.05
2765.470494,2771.85008,2779.957469,41.47,CWUEL,2.82,3.46,0.08
2767.597023,2774.50824,2783.014354,41.52,CWUEL,2.59,3.23,-0.12
2770.388091,2777.166401,2785.539607,41.57,CWUEL,2.82,3.46,-0.08
2772.780436,2779.691653,2787.931951,41.62,CWUEL,2.99,3.63,-0.13
2775.571505,2782.216906,2789.925572,41.67,CWUEL,2.88,3.52,0.10
2778.628389,2785.672515,2792.849548,41.73,CWUEL,2.88,3.52,0.03
2781.153642,2788.330675,2794.444444,41.77,CWUEL,2.98,3.62,0.07
2785.007974,2791.919192,2796.703881,41.82,CWUEL,2.94,3.58,0.08
2788.197767,2795.108985,2799.096225,41.87,CWUEL,2.97,3.61,0.02
2792.71664,2798.165869,2802.81765,41.92,CWUEL,3.21,3.85,-0.08
2796.703881,2801.089846,2805.608719,41.97,CWUEL,3.20,3.84,-0.13
2799.760766,2804.412547,2808.931419,42.02,CWUEL,3.33,3.97,-0.24
2802.950558,2808.001063,2811.988304,42.07,CWUEL,3.27,3.91,-0.08
2806.406167,2811.190856,2814.646465,42.12,CWUEL,3.47,4.11,-0.28
2809.59596,2814.380649,2817.836257,42.17,CWUEL,3.21,3.85,-0.05
2812.91866,2817.304625,2820.36151,42.22,CWUEL,3.30,3.94,0.05
2816.241361,2820.228602,2822.35513,42.27,CWUEL,2.90,3.54,0.28
2817.836257,2821.823498,2823.684211,42.3,CWUEL,3.09,3.73,-0.01
2820.760234,2825.013291,2827.139819,42.37,CWUEL,2.91,3.55,0.16
2822.620946,2827.006911,2829.532164,42.42,CWUEL,2.97,3.61,0.32
2824.481659,2829.13344,2832.190324,42.47,CWUEL,2.87,3.51,0.03
2826.342371,2830.994152,2834.715577,42.52,CWUEL,2.95,3.59,0.20
2828.601808,2833.12068,2836.975013,42.57,CWUEL,2.95,3.59,0.24
2830.728336,2835.247209,2838.835726,42.62,CWUEL,2.93,3.57,0.23
2832.854864,2837.373737,2841.493886,42.67,CWUEL,2.95,3.59,0.08
2835.513025,2839.367358,2843.753323,42.72,CWUEL,3.11,3.75,0.01
2837.905369,2841.22807,2845.879851,42.77,CWUEL,3.02,3.66,-0.12
2840.297714,2843.221691,2848.139288,42.82,CWUEL,3.35,3.99,-0.15
2842.158426,2845.481127,2850.398724,42.87,CWUEL,3.16,3.80,-0.25
2844.152047,2847.740564,2852.791069,42.92,CWUEL,3.19,3.83,0.05
2845.879851,2850,2854.518873,42.97,CWUEL,3.16,3.80,0.01
2849.734184,2854.253057,2858.639022,43.07,CWUEL,3.11,3.75,0.03
2853.455609,2857.974482,2862.759171,43.17,CWUEL,2.84,3.48,0.24
2857.309942,2861.562998,2866.87932,43.27,CWUEL,2.80,3.44,0.01
2859.968102,2863.955343,2870.069112,43.34,CWUEL,2.90,3.54,0.00
2861.164274,2865.417331,2871.664009,43.37,CWUEL,2.79,3.43,-0.07
2864.486975,2869.670388,2876.049973,43.47,CWUEL,2.92,3.56,0.05
2867.809676,2874.056353,2880.96757,43.57,CWUEL,3.02,3.66,0.00
2870.069112,2876.315789,2883.492823,43.62,CWUEL,3.04,3.68,0.03
2872.328549,2878.97395,2885.486443,43.67,CWUEL,3.18,3.82,-0.11
2876.581606,2884.024455,2889.340776,43.77,CWUEL,3.27,3.91,-0.09
2880.435938,2888.809144,2892.929293,43.87,CWUEL,3.14,3.78,-0.13
2882.562467,2891.201489,2895.321637,43.92,CWUEL,2.92,3.56,0.06
2885.220627,2893.328017,2897.18235,43.97,CWUEL,3.00,3.64,-0.22
2891.998937,2899.043062,2902.764487,44.1,CWUEL,2.90,3.54,0.06
2895.85327,2901.834131,2905.95428,44.17,CWUEL,2.87,3.51,-0.05
2898.51143,2903.561935,2907.814992,44.21,CWUEL,2.88,3.52,0.08
2899.707602,2904.492291,2909.144072,44.23,CWUEL,2.85,3.49,0.06
2901.834131,2906.353004,2911.137693,44.27,CWUEL,2.93,3.57,-0.11
2904.226475,2908.080808,2913.264221,44.31,CWUEL,2.81,3.45,-0.02
2907.9479,2912.200957,2917.517278,44.41,CWUEL,2.96,3.60,0.05
2912.068049,2916.05529,2921.371611,44.51,CWUEL,2.82,3.46,-0.15
2915.922382,2920.441255,2925.358852,44.61,CWUEL,3.07,3.71,-0.13
2919.776715,2925.358852,2929.213184,44.71,CWUEL,3.02,3.66,-0.25
2924.162679,2931.206805,2934.529506,44.81,CWUEL,3.33,3.97,-0.51
2927.48538,2935.061138,2939.712919,44.87,CWUEL,2.87,3.51,-0.09
2937.054758,2942.105263,2947.02286,45.01,CWUEL,2.71,3.35,0.09
2939.580011,2944.497608,2949.681021,45.06,CWUEL,2.68,3.32,-0.07
2941.706539,2946.889952,2952.073365,45.11,CWUEL,2.53,3.17,-0.09
2945.295056,2950.877193,2955.79479,45.21,CWUEL,2.78,3.42,-0.09
2949.149389,2954.598618,2959.914939,45.31,CWUEL,2.66,3.30,0.23
2951.275917,2956.592238,2962.041467,45.36,CWUEL,2.78,3.42,-0.12
2952.206273,2957.655502,2962.971823,45.38,CWUEL,2.90,3.54,0.24
2956.326422,2961.908559,2966.959064,45.49,CWUEL,2.96,3.60,0.09
2961.244019,2966.959064,2971.079213,45.63,CWUEL,2.93,3.57,0.05
2962.440191,2968.155237,2972.275385,45.66,CWUEL,2.94,3.58,0.05
2964.433812,2970.148857,2974.933546,45.71,CWUEL,2.93,3.57,0.04
2968.288145,2974.269006,2980.515683,45.81,CWUEL,3.01,3.65,-0.15
2971.876661,2978.654971,2985.43328,45.91,CWUEL,3.04,3.68,-0.26
2974.534822,2981.047315,2988.224349,45.96,CWUEL,3.01,3.65,-0.07
2977.32589,2983.306752,2990.483785,46.01,CWUEL,2.89,3.53,-0.14
2982.642212,2988.224349,2995.800106,46.13,CWUEL,2.81,3.45,-0.10
2986.230728,2991.679957,2999.920255,46.21,CWUEL,3.00,3.64,-0.06
2988.224349,2993.673578,3002.3126,46.25,CWUEL,2.90,3.54,-0.07
2991.015417,2996.730463,3005.768208,46.31,CWUEL,2.87,3.51,-0.02
2995.401382,3002.046784,3011.08453,46.41,CWUEL,3.01,3.65,-0.07
