Age_Ma_PLIOVAR,age_ka,temp_min2,temp_min1,temp,temp_plus1,temp_plus2,SST
3.033,3033.395,16.99814222,17.91030271,19.29948963,20.69075335,21.61568394,19.29948963
3.045,3045,16.92222349,17.87276143,19.25765609,20.66308775,21.57643475,19.25765609
3.046,3045.65,16.99839597,17.92649283,19.34688598,20.7484115,21.64539368,19.34688598
3.047,3046.712,17.09498056,18.02875974,19.4351765,20.82328567,21.75366242,19.4351765
3.048,3047.596,16.97109157,17.89606037,19.29473313,20.69127981,21.62047929,19.29473313
3.049,3049.365,16.89851806,17.80629058,19.22838954,20.62200145,21.53961673,19.22838954
3.051,3051.488,16.75104695,17.6366069,19.04516236,20.44739005,21.36641865,19.04516236
3.053,3052.726,17.07411159,17.97800827,19.3606371,20.74377785,21.68801055,19.3606371
3.055,3055.026,17.64202309,18.53549497,19.93178104,21.33881297,22.26184845,19.93178104
3.056,3056.441,18.59806931,19.51008736,20.89983009,22.30953068,23.24715085,20.89983009
3.058,3058.12,18.24742826,19.17440014,20.56968413,21.97534215,22.90384542,20.56968413
3.061,3061.466,19.16319953,20.09236378,21.50665261,22.91618304,23.90235083,21.50665261
3.063,3062.932,19.20875088,20.13092671,21.53372522,22.97337972,23.93633849,21.53372522
3.065,3065.131,18.79880378,19.72409758,21.11442591,22.51783154,23.46880099,21.11442591
3.067,3067.085,18.61651002,19.53773864,20.93428805,22.32894828,23.27518716,20.93428805
3.071,3070.505,17.8515183,18.75843356,20.16933632,21.56883236,22.48348742,20.16933632
3.073,3072.703,17.61078964,18.53566194,19.9256555,21.32546794,22.23212124,19.9256555
