age_ka,SST,temp_min2,temp_min1,temp,temp_plus1,temp_plus2
2650.49,24.5,21.50234605,22.42944259,23.92172675,25.62181424,27.02698808
2653.22,25.1,22.11430964,23.08831698,24.64377907,26.5887817,28.27446866
2656.19,25.4,22.44600624,23.42195388,25.0555381,27.07612297,28.82940563
2659.2,25.5,22.5724265,23.53494255,25.16172463,27.21897773,29.00532104
2662.06,25.5,22.59358795,23.54528591,25.1876508,27.23636263,29.04745793
2664.55,25.6,22.69796949,23.67599361,25.3179446,27.41365277,29.24042681
2666.96,25.1,22.15550474,23.11046974,24.68234812,26.57385155,28.2395088
2669.37,25.3,22.34565478,23.31376848,24.90206657,26.8687412,28.52059801
2671.78,26,23.12968885,24.1390971,25.86942896,28.1573979,30.20771168
2674.19,25.8,22.90202066,23.90212138,25.58357167,27.7588943,29.63762081
2676.44,25.6,22.68695889,23.67176632,25.30101419,27.34711779,29.21567643
2678.42,25.4,22.45028302,23.44129735,25.05366649,27.05474555,28.80824596
2680.34,25.2,22.26343011,23.22552451,24.79819372,26.71701731,28.39717953
2682.27,25.1,22.15869391,23.10980394,24.66088059,26.55486335,28.16184314
2684.11,25.2,22.24660299,23.22133069,24.79258876,26.70109753,28.44151766
2685.87,25.2,22.22860357,23.20220251,24.7654003,26.6793088,28.37602572
2687.61,25.3,22.36584472,23.32456401,24.89874114,26.86984449,28.56554202
2689.34,24.9,21.91806491,22.86983809,24.41186397,26.27803768,27.80152437
2690.95,24.9,21.91572154,22.87684242,24.40785191,26.23950119,27.77759073
2692.5,25,22.04501685,23.00636118,24.5382466,26.40598425,27.99015616
2694.05,24.9,21.9378483,22.89098673,24.42894695,26.27623138,27.7827335
2695.6,24.5,21.47246251,22.44443496,23.9379093,25.6450427,27.05418701
2697.14,24.1,21.09473579,22.01033724,23.47599631,25.08754401,26.37696761
2698.69,23.9,20.87434688,21.79594431,23.26832243,24.86109539,26.07766302
2700.23,23.7,20.66712345,21.59172891,23.02359421,24.58930201,25.7508676
2701.62,24.1,21.07556051,22.01600867,23.49617791,25.09178459,26.33221004
2703.17,24,20.9480929,21.90465886,23.3721458,24.99179429,26.23438778
2704.71,23.9,20.88179842,21.80605333,23.25948577,24.84134551,26.06695685
2706.41,23.1,20.07368803,20.99421266,22.41011342,23.89806049,24.96801304
2707.96,23.5,20.43815765,21.39043596,22.80072644,24.32256762,25.43179096
2709.51,23.4,20.31814491,21.25469479,22.71463668,24.20834032,25.32570887
2711.04,23.6,20.60743146,21.50453068,22.91957229,24.46231859,25.61905418
2712.7,23.8,20.7625671,21.69981979,23.13257407,24.68798455,25.86322518
