depth_m,age_ka,d18O,ship_depth,coretop,core_recov,notes
107.9,2284.5,-1.01,108.2,99.7,103.7,12 6 100-102cm
107.99,2286.5,-0.16,108.3,99.7,103.7,12 6 110-112cm
108.12,2289.1,-0.52,108.43,99.7,103.7,12 6 123-125cm
108.19,2290.5,-0.32,108.5,99.7,103.7,12 6 130-132cm
108.28,2292.5,-0.21,108.6,99.7,103.7,12 6 140-142cm
108.38,2294.3,-1.07,108.7,99.7,103.7,12 7 0-2cm
108.48,2296.1,-0.68,108.8,99.7,103.7,12 7 10-12cm
108.57,2297.9,-1.02,108.9,99.7,103.7,12 7 20-22cm
108.67,2299.7,-0.69,109,99.7,103.7,12 7 30-32cm
108.76,2301.4,-0.86,109.1,99.7,103.7,12 7 40-42cm
108.86,2303.2,-0.76,109.2,99.7,103.7,12 7 50-52cm
108.96,2305,-0.95,109.3,99.7,103.7,12 7 60-62cm
109.02,2306.2,-0.37,109.37,99.7,103.7,12 CC 0-2cm
109.12,2308,-0.57,109.47,99.7,103.7,12 CC 10-12cm
109.23,2310,-0.5,109.23,109.2,104.5,13 1 3-5cm
109.3,2314.7,-0.3,109.3,109.2,104.5,13 1 10-12cm
109.42,2323.6,-0.5,109.43,109.2,104.5,13 1 23-25cm
109.49,2328.4,-0.36,109.5,109.2,104.5,13 1 30-32cm
109.58,2335,-0.7,109.6,109.2,104.5,13 1 40-42cm
109.68,2337.2,-0.89,109.7,109.2,104.5,13 1 50-52cm
109.8,2339.9,-1.28,109.83,109.2,104.5,13 1 63-65cm
109.87,2341.3,-0.88,109.9,109.2,104.5,13 1 70-72cm
109.97,2343.4,0.87,110,109.2,104.5,13 1 80-82cm
110.06,2345.5,-0.97,110.1,109.2,104.5,13 1 90-92cm
110.16,2347.6,-0.99,110.2,109.2,104.5,13 1 100-102cm
110.25,2349.7,-0.69,110.3,109.2,104.5,13 1 110-112cm
110.38,2352.5,-0.33,110.43,109.2,104.5,13 1 123-125cm
110.44,2354,-0.59,110.5,109.2,104.5,13 1 130-132cm
110.54,2356.3,-0.76,110.6,109.2,104.5,13 1 140-142cm
110.66,2359.3,0.27,110.73,109.2,104.5,13 2 3-5cm
110.73,2361,-999,110.8,109.2,104.5,13 2 10-12cm
110.83,2363.3,-999,110.9,109.2,104.5,13 2 20-22cm
110.92,2365.6,-999,111,109.2,104.5,13 2 30-32cm
111.05,2368.6,-0.9,111.13,109.2,104.5,13 2 43-45cm
111.11,2370.2,-1.49,111.2,109.2,104.5,13 2 50-52cm
111.21,2372.5,-999,111.3,109.2,104.5,13 2 60-62cm
111.31,2376.5,-1.39,111.4,109.2,104.5,13 2 70-72cm
111.4,2380.5,-0.5,111.5,109.2,104.5,13 2 80-82cm
111.5,2384.4,-999,111.6,109.2,104.5,13 2 90-92cm
111.59,2388.4,-0.47,111.7,109.2,104.5,13 2 100-102cm
111.69,2392.5,-0.73,111.8,109.2,104.5,13 2 110-112cm
111.81,2397,-1.38,111.93,109.2,104.5,13 2 123-125cm
111.88,2399.4,-0.24,112,109.2,104.5,13 2 130-132cm
111.98,2402.9,0.46,112.1,109.2,104.5,13 2 140-142cm
112.1,2407.5,-999,112.23,109.2,104.5,13 3 3-5cm
112.17,2409.1,-999,112.3,109.2,104.5,13 3 10-12cm
112.26,2411.4,-999,112.4,109.2,104.5,13 3 20-22cm
112.36,2413.7,0.41,112.5,109.2,104.5,13 3 30-32cm
112.45,2416,0.48,112.6,109.2,104.5,13 3 40-42cm
112.55,2418.3,0.56,112.7,109.2,104.5,13 3 50-52cm
112.67,2421.3,0.14,112.83,109.2,104.5,13 3 63-65cm
112.74,2422.9,0.22,112.9,109.2,104.5,13 3 70-72cm
112.84,2425.2,-0.61,113,109.2,104.5,13 3 80-82cm
112.93,2427.5,-1.13,113.1,109.2,104.5,13 3 90-92cm
113.03,2429.4,0.18,113.2,109.2,104.5,13 3 100-102cm
113.12,2431.3,0.06,113.3,109.2,104.5,13 3 110-112cm
113.25,2433.7,-1.03,113.43,109.2,104.5,13 3 123-125cm
113.31,2435,-0.17,113.5,109.2,104.5,13 3 130-132cm
113.41,2436.9,-0.28,113.6,109.2,104.5,13 3 140-142cm
113.53,2439.3,-0.69,113.73,109.2,104.5,13 4 3-5cm
113.6,2440.6,0.13,113.8,109.2,104.5,13 4 10-12cm
113.7,2442.5,-0.77,113.9,109.2,104.5,13 4 20-22cm
113.79,2444.4,-0.61,114,109.2,104.5,13 4 30-32cm
113.89,2446.3,-0.88,114.1,109.2,104.5,13 4 40-42cm
113.98,2448.1,-0.03,114.2,109.2,104.5,13 4 50-52cm
114.08,2450,-0.4,114.3,109.2,104.5,13 4 60-62cm
114.21,2455.2,0.25,114.44,109.2,104.5,13 4 74-76cm
114.27,2457.5,-999,114.5,109.2,104.5,13 4 80-82cm
114.37,2461.2,-999,114.6,109.2,104.5,13 4 90-92cm
114.46,2464.9,-999,114.7,109.2,104.5,13 4 100-102cm
114.56,2468.7,-1.02,114.8,109.2,104.5,13 4 110-112cm
114.68,2473.5,-1.78,114.93,109.2,104.5,13 4 123-125cm
114.75,2476.1,-1.02,115,109.2,104.5,13 4 130-132cm
114.85,2480,-0.51,115.1,109.2,104.5,13 4 140-142cm
114.97,2481.6,-1.09,115.23,109.2,104.5,13 5 3-5cm
115.04,2482.5,-0.53,115.3,109.2,104.5,13 5 10-12cm
115.13,2483.7,-0.67,115.4,109.2,104.5,13 5 20-22cm
115.23,2485,-0.26,115.5,109.2,104.5,13 5 30-32cm
115.32,2486.2,0.06,115.6,109.2,104.5,13 5 40-42cm
115.42,2487.5,0.34,115.7,109.2,104.5,13 5 50-52cm
115.52,2488.8,0.56,115.8,109.2,104.5,13 5 60-62cm
115.61,2490,-999,115.9,109.2,104.5,13 5 70-72cm
115.71,2491.3,-999,116,109.2,104.5,13 5 80-82cm
115.8,2492.5,-0.26,116.1,109.2,104.5,13 5 90-92cm
