age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2773.6,3.33,1.13,6.6639,4.8783,8.279,2.7346,9.5043,38.544,37.061,39.805,35.392,40.785,1.5269,1.1266,1.8675,0.67572,2.132
2773.6,3.48,1.13,5.6478,3.4363,7.5839,0.49006,8.9862,38.063,36.355,39.435,33.919,40.569,1.3969,0.93592,1.7675,0.27807,2.0737
2776.2,3.49,0.95,5.8484,3.8726,7.5143,1.1726,8.8426,38.618,36.965,39.996,34.794,41.076,1.5469,1.1007,1.9191,0.51438,2.2105
2776.2,3.29,0.95,5.6599,3.4937,7.4035,0.58266,8.6842,39.271,37.652,40.572,35.51,41.675,1.7232,1.286,2.0746,0.70766,2.3723
2780,3.42,0.87,5.2358,2.933,7.0947,-0.14454,8.5281,39.138,37.382,40.493,35.04,41.707,1.6871,1.2132,2.0532,0.58081,2.3809
2780,3.38,0.87,5.4207,3.3691,7.0469,0.47695,8.2376,39.297,37.701,40.528,35.572,41.586,1.7302,1.2992,2.0625,0.72437,2.3483
2785.4,3.35,0.94,6.1967,4.4314,7.6855,2.6142,8.9052,39.894,38.539,41.099,37.024,42.039,1.8913,1.5255,2.2167,1.1166,2.4706
2785.4,3.46,0.94,6.0282,4.2262,7.6788,1.6952,8.8213,40.065,38.635,41.281,36.761,42.253,1.9374,1.5514,2.266,1.0455,2.5283
2791.4,3.42,0.86,5.7685,3.7699,7.3355,1.1413,8.6694,38.838,37.183,40.238,35.052,41.555,1.6063,1.1594,1.9842,0.58402,2.3398
2791.4,3.39,0.86,5.8105,3.7681,7.3505,1.0925,8.712,38.652,37.016,39.853,34.905,40.967,1.556,1.1143,1.8803,0.54425,2.181
2795,3.34,1.01,6.2201,4.1044,7.8468,1.766,9.1648,38.416,36.725,39.658,34.857,40.802,1.4922,1.0359,1.8276,0.53135,2.1366
2795,3.39,1.01,5.9037,3.9049,7.6369,1.1708,8.8713,38.314,36.675,39.675,34.47,40.746,1.4647,1.0222,1.8323,0.42685,2.1214
2799.3,3.95,0.8,6.3732,4.4602,8.0137,2.0741,9.2428,38.752,37.189,40.022,35.451,41.073,1.5831,1.161,1.9259,0.69184,2.2096
2805.4,3.63,0.88,6.0121,3.9147,7.6719,1.532,9.1283,38.216,36.61,39.616,34.565,40.86,1.4384,1.0048,1.8164,0.45263,2.1522
2813.3,3.39,0.84,6.3112,4.302,7.9673,2.2638,9.3386,38.613,36.965,39.964,35.177,41.063,1.5456,1.1006,1.9104,0.6179,2.2071
2813.3,3.78,0.84,6.003,4.0511,7.7161,1.161,9.0899,38.587,37.079,39.923,35.019,41.039,1.5385,1.1312,1.8991,0.57525,2.2005
2815.7,3.88,0.88,4.6638,2.3296,6.4973,-1.2407,8.0376,37.801,35.967,39.138,33.325,40.396,1.3263,0.83112,1.6873,0.11774,2.0268
2819.1,3.78,0.93,4.7936,2.5397,6.6136,-0.35827,8.0709,38.09,36.39,39.512,34.115,40.606,1.4044,0.94543,1.7883,0.33101,2.0836
2819.1,3.6,0.93,4.4519,2.3115,6.2691,-0.28374,7.714,38.086,36.397,39.519,34.361,40.628,1.4031,0.9471,1.7902,0.3975,2.0894
2822.5,3.33,0.81,5.1914,3.0507,6.9784,0.26698,8.3018,38.215,36.6,39.568,34.765,40.499,1.438,1.0021,1.8033,0.50663,2.0547
2832.1,3.22,0.96,5.6487,3.411,7.2983,0.71496,8.6027,39.112,37.402,40.455,35.39,41.521,1.6801,1.2185,2.0427,0.67526,2.3305
2832.1,3.18,0.96,5.6818,3.5854,7.3009,1.0904,8.5925,39.294,37.682,40.567,35.761,41.536,1.7293,1.2942,2.0731,0.77557,2.3346
2834.1,3.3,0.9,5.8333,3.8473,7.317,1.3563,8.6284,39.228,37.604,40.427,35.818,41.454,1.7117,1.273,2.0352,0.79074,2.3127
2834.1,3.33,0.9,5.1837,2.7011,6.976,-0.44036,8.1785,38.85,37.05,40.173,34.965,41.234,1.6095,1.1234,1.9666,0.56054,2.2531
2837,3.42,0.77,6.4234,3.9703,8.2006,0.99173,9.6125,38.299,36.857,39.601,34.88,40.697,1.4606,1.0714,1.8124,0.5377,2.1082
2841.7,3.54,0.86,6.4462,4.5078,8.1373,2.2077,9.478,38.284,36.824,39.534,35.144,40.592,1.4566,1.0626,1.7941,0.60885,2.0798
2843.5,3.57,1,6.1845,4.2429,7.7423,1.4899,9.0677,38.039,36.579,39.29,34.446,40.315,1.3905,0.99644,1.7283,0.42047,2.0051
2843.5,3.59,1,6.0655,4.049,7.629,1.4025,9.0931,37.963,36.448,39.231,34.404,40.303,1.37,0.96092,1.7123,0.40916,2.0019
