mcd,age_ka,d13C_uvi,d18O_uvi,Notes
139.47,3084.7,-0.88,3.32,1208 16-2 38-40U
139.58,3087.6,-0.81,3.4,1208 16-2 50-52 U
139.67,3090,-0.72,3.43,1208 16-2 60-62U
139.77,3092.5,-0.58,3.4,1208 16-2 70-72U
139.86,3095,-0.72,3.29,1208 16-2 80-82U
139.95,3097.5,-0.84,3.29,1208 16-2 90-92U
140.05,3100,-0.55,3.31,1208 16-2 100-102U
140.14,3102.1,-0.95,3.3,1208 16-2 110-112U
140.33,3106.5,-1,3.24,1208 16-2 130-132U
140.42,3108.7,-0.91,3.26,1208 16-2 140-142U
140.52,3110.9,-0.6,3.48,1208 16-3 0-2U
140.8,3117.4,-1.13,3.5,1208 16-3 30-32U
140.91,3120,-1.05,3.5,1208 16-3 42-44U
140.99,3122.1,-1.07,3.53,1208 16-3 50-52U
141.1,3125.2,-1.15,3.45,1208 16-3 62-64U
141.17,3127.2,-1.23,3.52,1208 16-3 70-72U
141.27,3129.8,-1.24,3.49,1208 16-3 80-82U
141.34,3131.8,-1.24,3.68,1208 16-3 88-90U
141.46,3134.9,-1.37,3.73,1208 16-3 100-102U
141.62,3139.5,-1.13,3.62,1208 16-3 117-119U
141.83,3145.1,-1.24,3.23,1208 16-3 140-142U
141.93,3147.7,-0.79,3.26,1208 16-4 0-2U
142.01,3150,-1.12,3.11,1208 16-4 9-11U
142.11,3152.7,-1.1,3.06,1208 16-4 20-22U
142.2,3154.9,-0.97,3,1208 16-4 29-31U
142.43,3161.1,-0.99,2.91,1208 16-4 54-56U
142.49,3162.6,-0.87,3.09,1208 16-4 60-62U
142.57,3164.8,-1,3.27,1208 16-4 69-71U
142.67,3167.3,-0.91,3.22,1208 16-4 79-81U
143.15,3178,-0.71,3.36,1208 16-4 130-132U
143.24,3180,-0.87,3.41,1208 16-4 140-142U
143.33,3183.9,-0.71,3.19,1208-16-5 0-2U
143.43,3187.7,-0.89,3.14,1208 16-5 10-12 U
143.55,3192.8,-0.41,3.08,1208 16-5 23-25 U
143.62,3195.5,-0.78,3.14,1208 16-5 30-32 U
143.71,3199.3,-0.58,3.21,1208-16-5 40-42U
144.16,3217.5,-0.81,3.04,1208 16-5 88-90U
144.16,3217.5,-0.59,3,1208 16-5 88-90UR
144.18,3218.2,-0.51,3.39,1208 16-5 90-92 U
144.27,3221.5,-0.89,3.18,1208 16-5 100-102 U
144.37,3224.9,-0.88,3.42,1208 16-5 110-112 U
144.55,3231.6,-0.76,3.59,1208 16-5 130-132 U
144.65,3235,-0.55,3.67,1208 16-5 140-142 U
144.93,3242.5,-0.59,3.19,1208 16-6 20-22 U
145.02,3245,-0.35,3.44,1208 16-6 30-32 U
145.31,3252.5,-0.84,3.2,1208 16-6 60-62 U
145.4,3255,-0.71,3.6,1208 16-6 70-72 U
145.59,3260,-0.92,3.7,1208 16-6 90-92 U
145.68,3262.5,-0.76,3.6,1208 16-6 100-102 U
