mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT,MgCa_merged
5922.5,1458.3,1.44,,C. wuellerstorfi,1.87,1.44
5953.5,1464.3,1.28,,C. wuellerstorfi,0.8,1.28
5953.5,1464.3,1.46,1.3,O. umbonatus,0.93,1.3
5968.5,1466.5,1.35,,C. wuellerstorfi,1.27,1.35
5998.5,1472.4,1.67,,C. wuellerstorfi,3.4,1.67
5998.5,1472.4,1.65,1.49,O. umbonatus,2.2,1.49
6013.5,1476.4,1.74,,C. wuellerstorfi,3.87,1.74
6013.5,1476.4,1.93,1.77,O. umbonatus,4.07,1.77
6028.5,1479.2,1.71,,C. wuellerstorfi,3.67,1.71
6028.5,1479.2,1.89,1.73,O. umbonatus,3.8,1.73
6043.5,1484.1,1.97,1.81,O. umbonatus,4.33,1.81
6058.5,1487.2,1.63,,C. wuellerstorfi,3.13,1.63
6058.5,1487.2,1.92,1.76,O. umbonatus,4,1.76
6086.5,1494.6,1.52,,C. wuellerstorfi,2.4,1.52
6102,1499.2,1.78,1.62,O. umbonatus,3.07,1.62
6118.5,1502,1.6,1.44,O. umbonatus,1.87,1.44
6133.5,1506.1,1.44,1.28,O. umbonatus,0.8,1.28
6148.5,1508.5,1.63,,C. wuellerstorfi,3.13,1.63
6148.5,1508.5,1.67,1.51,O. umbonatus,2.33,1.51
6163.5,1513.5,1.73,,C. wuellerstorfi,3.8,1.73
6178.5,1516.8,1.79,,C. wuellerstorfi,4.2,1.79
6193.5,1522.5,1.67,,C. wuellerstorfi,3.4,1.67
6207,1525.3,1.84,,C. wuellerstorfi,4.53,1.84
6318,1547.9,1.57,,C. wuellerstorfi,2.73,1.57
6348.5,1553.8,1.37,,C. wuellerstorfi,1.4,1.37
6348.5,1553.8,1.53,1.37,O. umbonatus,1.4,1.37
6359.5,1556,1.36,1.2,O. umbonatus,0.27,1.2
6377.5,1559.2,1.62,,C. wuellerstorfi,3.07,1.62
6422.5,1568.3,1.61,,C. wuellerstorfi,3,1.61
