mcd_te,mcd_d18O,age_ka,MgCa,FeCa,AlCa,d13C_uvi,d18O_uvi,Notes,notes
131.32,,2877.00,0.93,24.00,2044.00,-0.84,3.63,,1208_15-3 30-32
131.41,131.41,2879.00,1.02,7.00,216.00,-0.84,3.73,1208 15-3 40-42U,1208_15-3 40-42
131.51,131.51,2881.00,0.82,23.00,37.00,-0.66,3.80,1208 15-3 50-52U,1208_15-3 50-52
131.62,131.62,2884.00,0.96,19.00,25.00,-0.81,3.76,1208 15-3 62-64U,1208_15-3 62-64
131.70,131.70,2886.00,1.05,23.00,54.00,-0.83,3.77,1208 15-3 70-72U,1208_15-3 70-72
131.79,131.79,2888.00,0.99,18.00,39.00,-0.80,3.87,1208 15-3 80-82U,1208_15-3 80-82
,131.89,2890.00,,,,-0.47,3.43,1208 15-3 91-92U,
131.98,131.98,2892.00,0.89,16.00,1068.00,-0.84,3.51,1208 15-3 100-102U,1208_15-3 100-102
132.08,132.08,2894.00,0.94,29.00,595.00,-0.83,3.50,1208 15-3 110-112U,1208 15-3 110-112
132.20,132.20,2896.00,0.93,,32.00,-0.93,3.28,1208 15-3 123-125U,1208 15-3 123-125
132.26,132.26,2897.00,0.90,19.00,19.00,-0.73,3.46,1208 15-3 130-132U,1208 15-3 130-132
132.36,132.36,2899.00,1.02,18.00,21.00,-0.83,3.41,1208 15-3 140-142U,1208 15-3 140-142
132.45,132.45,2901.00,0.88,25.00,28.00,-0.72,3.33,1208 15-4 0-2U,1208 15-4 0-2
132.55,132.55,2903.00,1.03,17.00,7.00,-0.82,3.42,1208 15-4 10-12U,1208 15-4 10-12
132.64,132.64,2904.00,0.90,15.00,17.00,-1.05,3.47,1208 15-4 20-22U,1208 15-4 20-22
132.74,132.74,2906.00,0.75,12.00,12.00,-0.98,3.53,1208 15-4 30-32U,1208 15-4 30-32
,132.81,2907.00,,,,-1.40,3.27,1208 15-4 38-40U,
,132.93,2910.00,,,,-1.01,3.55,1208 15-4 50-52U,
,133.02,2913.00,,,,-1.04,3.50,1208 15-4 60-62U,
,133.21,2921.00,,,,-1.10,3.80,1208 15-4 80-82U,
,133.30,2924.00,,,,-1.21,3.66,1208 15-4 90-92U,
133.40,133.40,2928.00,0.84,,50.00,-1.02,3.66,1208 15-4 100-102U,1208 15-4 100-102
133.40,133.40,2928.00,0.83,,74.00,-1.02,3.66,1208 15-4 100-102U,1208 15-4 100-102R
133.49,133.49,2932.00,0.79,16.00,47.00,-1.18,3.64,1208 15-4 110-112U,1208 15-4 110-112
,133.62,2937.00,,,,-1.16,3.57,1208 15-4 123-125U,
133.68,133.68,2938.00,0.88,13.00,35.00,-0.92,3.46,1208 15-4 130-132U,1208 15-4 130-132
