d13C,d13C_corr,d18O,d18O_corr,type,mcd,age_ka,Comment
0.87,0.87,3.12,3.76,CKULL,36.6523,1138.95,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
0.9,0.9,3.08,3.72,CKULL,36.8266,1148.77,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
1.13,1.13,2.68,3.32,CWUE,37.0009,1158.6,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.98,0.98,3,3.64,CKULL,37.0009,1158.6,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
1.21,1.21,2.63,3.27,CWUE,37.0881,1163.51,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.24,1.24,2.68,3.32,CWUE,37.1752,1167.71,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.76,0.76,2.8,3.3,CSPP,37.2624,1170.17,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.73,0.73,2.7,3.05,NUMB,37.2624,1170.17,d18 corrected -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)
1.15,1.15,2.66,3.3,CWUE,37.3495,1172.63,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.76,0.76,3.04,3.68,CBRA,37.3495,1172.63,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.7,0.7,2.88,3.52,CBRA,37.4367,1175.09,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
1,1,2.83,3.47,CKULL,37.5239,1177.54,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
0.59,0.59,2.84,3.48,CBRA,37.5239,1177.54,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.88,0.88,2.86,3.21,NUMB,37.6104,1180.31,d18 corrected -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)
0.86,0.86,3.35,3.99,CWUE,37.8196,1187.17,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.37,0.37,3.54,4.18,CWUE,37.863,1188.59,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.68,0.68,3.51,4.15,CWUE,37.9065,1190.02,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.61,0.61,3.62,4.26,CKULL,37.95,1191.44,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
0.62,0.62,3.5,4.14,CWUE,37.9935,1192.87,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.21,0.21,3.56,4.2,CWUE,38.037,1194.29,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.58,-0.58,3.25,3.89,CWUE,38.1239,1197.14,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.27,0.27,3.53,4.17,CWUE,38.1674,1198.65,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.42,0.42,3.39,4.03,CWUE,38.2978,1203.54,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.31,0.31,3.28,3.92,CWUE,38.3413,1205.17,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.47,0.47,3.42,4.06,CWUE,38.3848,1206.8,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.64,0.64,3.33,3.97,CWUE,38.4283,1208.43,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.58,0.58,2.83,3.47,CWUE,38.4717,1210.07,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.37,0.37,3.22,3.86,CWUE,38.5152,1211.7,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
